"scope","path","size_bytes","sha256"
"canonical_results","./results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/folds/fold_3/rfe_selection_trace.csv","606","0df385af742653f0018957002f6b8dd66bff86bc2d591f7b7cfe37a3e767e492"
"canonical_results","./results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/folds/fold_3/selected_features.csv","545","74750c3e6fbee1d8c0166eaa6cf061c485269216788c87899f0bae8a6f894408"
"canonical_results","./results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/folds/fold_3/voter_rankings.csv","71860","bfbc324fb5755bf61b9f97ccea642b72ae26f63a94d6066a8caaacf1a38e3124"
"canonical_results","./results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/folds/fold_4/aggregate_ranking.csv","35595","98b730d13f58449422c6dfb0a556adf242d35d10de367f9f57de83c50b3c518b"
"canonical_results","./results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/folds/fold_4/candidate_features.csv","505","d06f066a2ce066c6732ef8fd6ac25ed24d81a0f1c78a3f7693e64f70b28faff9"
"canonical_results","./results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/folds/fold_4/effective_model_config.json","1258","dd24f560824b4e7a61b926b8aa9bba257b319537d657448933ffe6d17d567eb5"
"canonical_results","./results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/folds/fold_4/prediction_metadata.json","1958","df8769221283adf6aca4f07bf1033ced60c36c0cd0043d4a0546ca2cd359105d"
"canonical_results","./results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/folds/fold_4/predictions_dev.csv","3069277","a8da5844f241686f0d0ecaa876a58bdd21cdd7759c3ecd0fe480a2d4d3fcc374"
"canonical_results","./results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/folds/fold_4/rfe_selection_trace.csv","614","8191395e7ee2477e7aed03beb4f709580366ac8ed4306435884877a4e65db785"
"canonical_results","./results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/folds/fold_4/selected_features.csv","553","952242d03c6259eef8dff5b189ca10023a090b563dbf6d674d8fe4e5037bdf9f"
"canonical_results","./results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/folds/fold_4/voter_rankings.csv","71901","425e34658186268b18a23fdf55177b2deb635d346875eb6e82b5f3182623348b"
"canonical_results","./results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/folds/fold_5/aggregate_ranking.csv","35559","df84e508c4537d32dbd110609049c67aa8b3f5dddb7a550776a6f76934a85579"
"canonical_results","./results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/folds/fold_5/candidate_features.csv","500","b619cab19c3b7d6571f93258ecf031ff0a4344a5cd29843ff40bd06d7294b5ba"
"canonical_results","./results/runs/homecredit/cdv1-001-homecredit-reference-rf-corr-mrmr-lr-s42/folds/fold_5/effective_model_config.json","1258","dd24f560824b4e7a61b926b8aa9bba257b319537d657448933ffe6d17d567eb5"
