run_id,attempt,attempt_status,resource_path,stage,fold_id,sample_count,stage_start_elapsed_seconds,stage_end_elapsed_seconds,peak_process_tree_rss_bytes,minimum_system_available_ram_bytes,peak_process_gpu_bytes,maximum_process_tree_cpu_percent,results_free_space_delta_from_attempt_start_bytes,temp_free_space_delta_from_attempt_start_bytes,resolved_estimator_threads,stop_code
cdv1-pilot-002-homecredit-voting-k200-catboost-s42-f0,attempt_01,completed,results/runs/homecredit/cdv1-pilot-002-homecredit-voting-k200-catboost-s42-f0/resource_usage.json,fold_local_selection,1,1,112.79406949999975,112.79406949999975,1749270528,24358264832,0,0.0,530722816,0,4,
cdv1-pilot-002-homecredit-voting-k200-catboost-s42-f0,attempt_01,completed,results/runs/homecredit/cdv1-pilot-002-homecredit-voting-k200-catboost-s42-f0/resource_usage.json,voter_rf_corr_mrmr,1,26,113.8202542999934,139.22566719999304,2055323648,24172683264,0,0.0,656687104,0,4,
cdv1-pilot-002-homecredit-voting-k200-catboost-s42-f0,attempt_01,completed,results/runs/homecredit/cdv1-pilot-002-homecredit-voting-k200-catboost-s42-f0/resource_usage.json,voter_boruta,1,78,140.23929820000194,218.55712820001645,2073522176,24197545984,0,0.0,993087488,2871296,4,
cdv1-pilot-002-homecredit-voting-k200-catboost-s42-f0,attempt_01,completed,results/runs/homecredit/cdv1-pilot-002-homecredit-voting-k200-catboost-s42-f0/resource_usage.json,rfe,1,115,219.57213770001545,335.5167294999992,2022813696,24394846208,0,0.0,1548161024,3731456,4,
cdv1-pilot-002-homecredit-voting-k200-catboost-s42-f0,attempt_01,completed,results/runs/homecredit/cdv1-pilot-002-homecredit-voting-k200-catboost-s42-f0/resource_usage.json,final_model_fit,1,13,336.5359712000063,348.738574100018,1526325248,24942702592,0,0.0,1604952064,2560000,4,
cdv1-pilot-002-homecredit-voting-k200-catboost-s42-f0,attempt_01,completed,results/runs/homecredit/cdv1-pilot-002-homecredit-voting-k200-catboost-s42-f0/resource_usage.json,dev_prediction_publication,1,1,349.7553797000146,349.7553797000146,1505054720,25039269888,0,0.0,1612513280,2560000,4,
cdv1-pilot-003-lendingclub-v2-voting-k200-lr-s42-f0,attempt_01,failed,results/runs/lendingclub_v2/cdv1-pilot-003-lendingclub-v2-voting-k200-lr-s42-f0/incomplete/attempt_history/attempt_01_resource_usage.json,initialized,,2,0.009442500013392419,1.0275685999949928,159543296,26409701376,0,0.0,2883584,0,4,worker_crash
cdv1-pilot-003-lendingclub-v2-voting-k200-lr-s42-f0,attempt_01,failed,results/runs/lendingclub_v2/cdv1-pilot-003-lendingclub-v2-voting-k200-lr-s42-f0/incomplete/attempt_history/attempt_01_resource_usage.json,dev_projected_loading,,66,2.050466899992898,68.08715320000192,6941106176,20762697728,0,0.0,243859456,1146880,4,worker_crash
cdv1-pilot-003-lendingclub-v2-voting-k200-lr-s42-f0,attempt_02,completed,results/runs/lendingclub_v2/cdv1-pilot-003-lendingclub-v2-voting-k200-lr-s42-f0/resource_usage.json,initialized,,2,0.011555900011444464,1.0234081000089645,160079872,27066970112,0,0.0,4452352,0,4,
cdv1-pilot-003-lendingclub-v2-voting-k200-lr-s42-f0,attempt_02,completed,results/runs/lendingclub_v2/cdv1-pilot-003-lendingclub-v2-voting-k200-lr-s42-f0/resource_usage.json,dev_projected_loading,,65,2.03289470000891,67.03293339998345,6443454464,20699500544,0,0.0,232255488,266240,4,
cdv1-pilot-003-lendingclub-v2-voting-k200-lr-s42-f0,attempt_02,completed,results/runs/lendingclub_v2/cdv1-pilot-003-lendingclub-v2-voting-k200-lr-s42-f0/resource_usage.json,canonical_first_fold,1,4,68.0461234000104,71.09159409999847,7700205568,19452153856,0,0.0,249147392,266240,4,
cdv1-pilot-003-lendingclub-v2-voting-k200-lr-s42-f0,attempt_02,completed,results/runs/lendingclub_v2/cdv1-pilot-003-lendingclub-v2-voting-k200-lr-s42-f0/resource_usage.json,fold_local_selection,1,7,72.10947470000247,78.21039749999181,12501827584,14804537344,0,0.0,283033600,466944,4,
cdv1-pilot-003-lendingclub-v2-voting-k200-lr-s42-f0,attempt_02,completed,results/runs/lendingclub_v2/cdv1-pilot-003-lendingclub-v2-voting-k200-lr-s42-f0/resource_usage.json,voter_rf_corr_mrmr,1,50,79.21980099999928,129.09512690000702,12948414464,14248906752,0,0.0,505065472,409600,4,
cdv1-pilot-003-lendingclub-v2-voting-k200-lr-s42-f0,attempt_02,completed,results/runs/lendingclub_v2/cdv1-pilot-003-lendingclub-v2-voting-k200-lr-s42-f0/resource_usage.json,voter_boruta,1,443,130.1128949999984,579.7851597999979,13526896640,13158174720,0,0.0,2017304576,8175616,4,
cdv1-pilot-003-lendingclub-v2-voting-k200-lr-s42-f0,attempt_02,completed,results/runs/lendingclub_v2/cdv1-pilot-003-lendingclub-v2-voting-k200-lr-s42-f0/resource_usage.json,rfe,1,179,580.8038592000084,761.9386798999913,12797571072,14395854848,0,0.0,2726268928,9236480,4,
cdv1-pilot-003-lendingclub-v2-voting-k200-lr-s42-f0,attempt_02,completed,results/runs/lendingclub_v2/cdv1-pilot-003-lendingclub-v2-voting-k200-lr-s42-f0/resource_usage.json,final_model_fit,1,1,762.9525568000099,762.9525568000099,8874196992,18153644032,0,0.0,2729578496,9236480,4,
cdv1-pilot-003-lendingclub-v2-voting-k200-lr-s42-f0,attempt_02,completed,results/runs/lendingclub_v2/cdv1-pilot-003-lendingclub-v2-voting-k200-lr-s42-f0/resource_usage.json,dev_prediction_publication,1,3,763.9883470000059,766.0210867999995,8936771584,18058260480,0,0.0,2765524992,9236480,4,
cdv1-pilot-004-lendingclub-v2-voting-k200-catboost-s42-f0,attempt_01,completed,results/runs/lendingclub_v2/cdv1-pilot-004-lendingclub-v2-voting-k200-catboost-s42-f0/resource_usage.json,initialized,,2,0.007865499996114522,1.0234016999893356,153571328,26758889472,0,0.0,3997696,4096,4,
cdv1-pilot-004-lendingclub-v2-voting-k200-catboost-s42-f0,attempt_01,completed,results/runs/lendingclub_v2/cdv1-pilot-004-lendingclub-v2-voting-k200-catboost-s42-f0/resource_usage.json,dev_projected_loading,,65,2.0468825999996625,67.0884988999751,6194253824,20792164352,0,0.0,268828672,69632,4,
cdv1-pilot-004-lendingclub-v2-voting-k200-catboost-s42-f0,attempt_01,completed,results/runs/lendingclub_v2/cdv1-pilot-004-lendingclub-v2-voting-k200-catboost-s42-f0/resource_usage.json,canonical_first_fold,1,4,68.10687419999158,71.14654679998057,7698227200,19465027584,0,0.0,286507008,69632,4,
cdv1-pilot-004-lendingclub-v2-voting-k200-catboost-s42-f0,attempt_01,completed,results/runs/lendingclub_v2/cdv1-pilot-004-lendingclub-v2-voting-k200-catboost-s42-f0/resource_usage.json,fold_local_selection,1,6,72.16229349997593,77.25587629998336,12287459328,14834577408,0,0.0,313053184,69632,4,
cdv1-pilot-004-lendingclub-v2-voting-k200-catboost-s42-f0,attempt_01,completed,results/runs/lendingclub_v2/cdv1-pilot-004-lendingclub-v2-voting-k200-catboost-s42-f0/resource_usage.json,voter_rf_corr_mrmr,1,52,78.27360249997582,130.11607789999107,12945997824,13997232128,0,0.0,527548416,2891776,4,
cdv1-pilot-004-lendingclub-v2-voting-k200-catboost-s42-f0,attempt_01,completed,results/runs/lendingclub_v2/cdv1-pilot-004-lendingclub-v2-voting-k200-catboost-s42-f0/resource_usage.json,voter_boruta,1,448,131.1316414999892,585.8470490000036,13523734528,13014417408,0,0.0,2382536704,17555456,4,
cdv1-pilot-004-lendingclub-v2-voting-k200-catboost-s42-f0,attempt_01,completed,results/runs/lendingclub_v2/cdv1-pilot-004-lendingclub-v2-voting-k200-catboost-s42-f0/resource_usage.json,rfe,1,176,586.8639932999795,764.9660424999893,12778913792,13295505408,0,0.0,3159785472,124948480,4,
cdv1-pilot-004-lendingclub-v2-voting-k200-catboost-s42-f0,attempt_01,completed,results/runs/lendingclub_v2/cdv1-pilot-004-lendingclub-v2-voting-k200-catboost-s42-f0/resource_usage.json,final_model_fit,1,40,765.984912999993,805.6863550999842,9007923200,17634140160,0,0.0,3332509696,0,4,
cdv1-pilot-004-lendingclub-v2-voting-k200-catboost-s42-f0,attempt_01,completed,results/runs/lendingclub_v2/cdv1-pilot-004-lendingclub-v2-voting-k200-catboost-s42-f0/resource_usage.json,dev_prediction_publication,1,3,806.7041902999918,808.7285823999846,8932012032,17707708416,0,0.0,3368787968,0,4,
cdv1-pilot-004-lendingclub-v2-voting-k200-catboost-s42-f0,attempt_01,completed,results/runs/lendingclub_v2/cdv1-pilot-004-lendingclub-v2-voting-k200-catboost-s42-f0/resource_usage.json,worker_complete,1,1,809.7430447999795,809.7430447999795,1814728704,24865771520,0,0.0,3373125632,0,4,
