iter	Logloss
162	0.255866699
163	0.2558124598
164	0.2557628027
165	0.2556949675
166	0.2556431757
167	0.2555887182
168	0.2555243267
169	0.2554623259
170	0.2554113528
171	0.2553741722
172	0.255312749
173	0.2552467945
174	0.2552098044
175	0.2551579262
176	0.2550905525
177	0.2550383161
178	0.2549934155
179	0.2549469976
180	0.2548747254
181	0.254805353
182	0.2547529786
183	0.2547133457
184	0.2546621275
185	0.2546209504
186	0.254584533
187	0.2545368467
188	0.2544794825
189	0.2544217223
190	0.2543905239
191	0.2543473194
192	0.2542986725
193	0.2542423929
194	0.2542101198
195	0.2541486986
196	0.2540937548
197	0.2540490309
198	0.2539763607
199	0.2539259721
200	0.2538724307
201	0.2538383275
202	0.2537896201
203	0.2537485125
204	0.2537109558
205	0.2536492765
206	0.2535806207
207	0.2535328719
208	0.2534602226
209	0.2534122277
210	0.2533599456
211	0.2533102665
212	0.2532665013
213	0.2532337667
214	0.2531949258
215	0.2531376072
216	0.2530985876
217	0.2530439962
218	0.2530113558
219	0.2529692231
220	0.2529238978
221	0.2528790826
222	0.2528062675
223	0.2527539914
224	0.2527062515
225	0.2526523012
226	0.252604602
227	0.2525628553
228	0.2525134105
229	0.2524573751
230	0.2524056081
231	0.2523630397
232	0.2523291757
233	0.2522903119
234	0.2522383573
235	0.2521814595
236	0.2521297441
237	0.252086877
238	0.2520376019
239	0.2519949302
240	0.2519608182
241	0.2519293369
242	0.2518526704
243	0.251829707
244	0.2517651051
245	0.2517059873
246	0.251669815
247	0.251624048
248	0.2515904788
249	0.2515219688
250	0.2514824233
251	0.2514540612
252	0.2513956182
253	0.2513514322
254	0.2513123759
255	0.2512821898
256	0.2512377021
257	0.2511793564
258	0.2511144826
259	0.251055464
260	0.2510029973
261	0.2509364781
262	0.2509003157
263	0.2508298576
264	0.2507834843
265	0.25071933
266	0.2506703467
267	0.2506416869
268	0.2505974671
269	0.2505342784
270	0.2504906313
271	0.2504513041
272	0.2504015357
273	0.2503622314
274	0.250325549
275	0.2502718656
276	0.2502155662
277	0.2501759552
278	0.2501380441
279	0.2500998691
280	0.250059355
281	0.2500143433
282	0.249970185
283	0.2499251942
284	0.2499002718
285	0.2498504102
286	0.2497894941
287	0.2497499307
288	0.2496975901
289	0.2496576406
290	0.2496329128
291	0.249581497
292	0.2495344886
293	0.2494989504
294	0.249471551
295	0.2494146443
296	0.2493756207
297	0.2493193065
298	0.2492787269
299	0.2492473677
300	0.2492029534
301	0.2491604376
302	0.2491070807
303	0.2490648101
304	0.2490177659
305	0.2489662271
306	0.2489109955
307	0.2488761133
308	0.2488392682
309	0.2487875507
310	0.2487343179
311	0.2487073532
312	0.2486689449
313	0.2486150184
314	0.2485722088
315	0.2485451568
316	0.2485073132
317	0.2484772908
318	0.2484251437
319	0.2483889327
320	0.2483339552
321	0.2483054472
322	0.2482579466
323	0.2482111287
324	0.2481594767
325	0.2481270279
326	0.2480892171
327	0.248033533
328	0.2479931172
329	0.2479500139
330	0.2479076549
331	0.2478650438
332	0.2478238022
333	0.2477703233
334	0.2477442537
335	0.2477136021
336	0.2476796965
337	0.2476414024
338	0.2476044579
339	0.2475548335
340	0.2475050473
341	0.2474455127
342	0.2474118174
343	0.2473537962
344	0.2473186818
345	0.2472810298
346	0.2472460682
347	0.2472030869
348	0.247162941
349	0.2471241338
350	0.2470884984
351	0.2470379371
352	0.2470122347
353	0.2469596966
354	0.2469303074
355	0.2468860042
356	0.246824849
357	0.2467989947
358	0.2467586464
359	0.2467201617
360	0.2466842028
361	0.2466332267
362	0.2466060823
363	0.2465630087
364	0.246522451
365	0.2464870765
366	0.2464487666
367	0.2464080351
368	0.2463747815
369	0.2463313506
370	0.2462977546
371	0.2462635125
372	0.2462328431
373	0.2461860907
374	0.2461485766
375	0.2461037108
376	0.2460723963
377	0.2460303122
378	0.2460050078
379	0.2459620533
380	0.2459084116
381	0.2458572648
382	0.2458342578
383	0.2457812046
384	0.2457510224
385	0.2457124445
386	0.2456713498
387	0.2456359159
388	0.2455974868
