run_id,cell_id,cell_index,phase,dataset,fold_or_split,method_id,implementation_id,method_role,evaluation_model,candidate_universe_count,candidate_universe_hash,selected_feature_count,budget_semantics,requested_budget,natural_support,feasibility_state,seed,prediction_sha256,prediction_row_identity_sha256,identity_target_sha256,metric_artifact_sha256,configuration_lock_sha256,auc,gini,ks,lift_at_10,runtime_seconds,peak_process_rss_gib,minimum_available_ram_gib,ram_wait_seconds,warnings,terminal_state
fbv1-011-lendingclub_v2-lr-iv-woe-s42,fbv1-011-lendingclub_v2-lr-iv-woe-s42,11,oot,lendingclub_v2,locked_oot,iv_woe,iv_woe_quantile_binned_v1,selector,lr,675,unsupported_not_persisted_by_prompt_10,20,exact_budget,20.0,False,completed,42,842e3c1bd4ac9b7d6eee7258edfd247d8efa3ef943f828442662b3a377889409,58a4c0cae484435637172dabe24671608cf022babfd29425aba0879e68244714,e455f6dae0c55f6bd47aaeefde05ef6ad1468aa1053f9be7013b109c2b94c162,5b04bd81ba212a05cc24f706782090f362eb1db5b4f561074af6d1435907b127,f03647c376fe834f9bb1c3d6834ed42732ef3e7e1047eeff352af49b31ed607f,0.6821098791687363,0.36421975833747267,0.2614113773044076,2.053531165222089,829.5514819000091,23.145084381103516,4.725883483886719,0.0,,completed
fbv1-012-lendingclub_v2-catboost-iv-woe-s42,fbv1-012-lendingclub_v2-catboost-iv-woe-s42,12,oot,lendingclub_v2,locked_oot,iv_woe,iv_woe_quantile_binned_v1,selector,catboost,675,unsupported_not_persisted_by_prompt_10,40,exact_budget,40.0,False,completed,42,9945bd1988e803b2b77e4171c374f037dab9588f5cc8d9732eaeacd19b788a74,58a4c0cae484435637172dabe24671608cf022babfd29425aba0879e68244714,e455f6dae0c55f6bd47aaeefde05ef6ad1468aa1053f9be7013b109c2b94c162,52fb7f3ae21d41a5bf0016ba1b15212e1335562df292313c25fc786e9a992b05,f03647c376fe834f9bb1c3d6834ed42732ef3e7e1047eeff352af49b31ed607f,0.7026727974821897,0.4053455949643794,0.28911512739027084,2.1812908096337376,2189.832045999996,24.440418243408203,3.484119415283203,0.0,,completed
fbv1-013-homecredit-lr-mrmr-mutual-information-s42,fbv1-013-homecredit-lr-mrmr-mutual-information-s42,13,oot,homecredit,locked_oot,mrmr_mutual_information,mrmr_mutual_information_discrete_plugin_v1,selector,lr,529,unsupported_not_persisted_by_prompt_10,20,exact_budget,20.0,False,completed,42,7840376063fc325e5b9fde1db379fd2dbf3e1b7788beb531423cc3cc0500a3e8,44dae0bae662ea5ebb863a1fdfe3f68878235f3117cc11e0409f147ddda36f95,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,969ccbc313b1af5da0f2334759c5afb8d59d0cb1c3af300f62dc6e7d4cb5f33a,f03647c376fe834f9bb1c3d6834ed42732ef3e7e1047eeff352af49b31ed607f,0.7351157546380288,0.4702315092760576,0.34864860441645856,3.0125488964599536,277.0491084000096,7.947971343994141,19.967090606689453,0.0,,completed
fbv1-014-homecredit-catboost-mrmr-mutual-information-s42,fbv1-014-homecredit-catboost-mrmr-mutual-information-s42,14,oot,homecredit,locked_oot,mrmr_mutual_information,mrmr_mutual_information_discrete_plugin_v1,selector,catboost,529,unsupported_not_persisted_by_prompt_10,40,exact_budget,40.0,False,completed,42,51ef8148876dbb9242e46498c0284075c885ba3faa3a3a913c26793ed64e8d47,44dae0bae662ea5ebb863a1fdfe3f68878235f3117cc11e0409f147ddda36f95,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,c76d72b91e4ffd0d11573101a711b3928ba758d6659bb1e9c479a7bfcbf9d34a,f03647c376fe834f9bb1c3d6834ed42732ef3e7e1047eeff352af49b31ed607f,0.759898780138256,0.5197975602765119,0.38675778243951,3.325030676403315,616.9911934999982,7.941749572753906,19.978225708007812,0.0,,completed
fbv1-015-lendingclub_v2-lr-mrmr-mutual-information-s42,fbv1-015-lendingclub_v2-lr-mrmr-mutual-information-s42,15,oot,lendingclub_v2,locked_oot,mrmr_mutual_information,mrmr_mutual_information_discrete_plugin_v1,selector,lr,675,unsupported_not_persisted_by_prompt_10,20,exact_budget,20.0,False,completed,42,cf346ad43a181262591e9dcd4687266fd397355b666785fd7791a950ca4394c3,58a4c0cae484435637172dabe24671608cf022babfd29425aba0879e68244714,e455f6dae0c55f6bd47aaeefde05ef6ad1468aa1053f9be7013b109c2b94c162,57428003e6aaa937ba75fdc1ee931b8ba9630bb47154cb8a5c05a8bc830b3079,f03647c376fe834f9bb1c3d6834ed42732ef3e7e1047eeff352af49b31ed607f,0.6859236290968351,0.37184725819367026,0.2645449885398556,2.0796105421776776,1327.5359159000072,23.827831268310547,3.988269805908203,0.0,,completed
fbv1-016-lendingclub_v2-catboost-mrmr-mutual-information-s42,fbv1-016-lendingclub_v2-catboost-mrmr-mutual-information-s42,16,oot,lendingclub_v2,locked_oot,mrmr_mutual_information,mrmr_mutual_information_discrete_plugin_v1,selector,catboost,675,unsupported_not_persisted_by_prompt_10,40,exact_budget,40.0,False,completed,42,7aa9bfe91d63231e556e03eab86990596fc90bfc6110e9602f18b2843b96aec4,58a4c0cae484435637172dabe24671608cf022babfd29425aba0879e68244714,e455f6dae0c55f6bd47aaeefde05ef6ad1468aa1053f9be7013b109c2b94c162,feb9f43538f1e8062d3fe84815c6c1d2e87ea084ce622d828867b6b26420276d,f03647c376fe834f9bb1c3d6834ed42732ef3e7e1047eeff352af49b31ed607f,0.7020237291842616,0.4040474583685232,0.28714461326582263,2.1768954090232446,3098.527769399996,21.808055877685547,6.242103576660156,0.0,,completed
fbv1-017-homecredit-lr-lasso-l1-logistic-s42,fbv1-017-homecredit-lr-lasso-l1-logistic-s42,17,oot,homecredit,locked_oot,lasso_l1_logistic,lasso_l1_logistic_v1,selector,lr,529,unsupported_not_persisted_by_prompt_10,20,natural_support_or_cap,20.0,True,completed,42,e146bf92ef7e186e0086bc5da008b09a0ba89d90f724fd2aaf13d1913eb48c86,44dae0bae662ea5ebb863a1fdfe3f68878235f3117cc11e0409f147ddda36f95,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,b3a8b21b9d9093c9be654f861f82236892276715e001ea8426c05a4bedaba1c2,f03647c376fe834f9bb1c3d6834ed42732ef3e7e1047eeff352af49b31ed607f,0.7453493532411243,0.49069870648224856,0.3634826681159694,3.049971864117842,402.8792689999973,7.937934875488281,19.728485107421875,0.0,,completed
fbv1-018-homecredit-catboost-lasso-l1-logistic-s42,fbv1-018-homecredit-catboost-lasso-l1-logistic-s42,18,oot,homecredit,locked_oot,lasso_l1_logistic,lasso_l1_logistic_v1,selector,catboost,529,unsupported_not_persisted_by_prompt_10,40,natural_support_or_cap,40.0,True,completed,42,a2cec8a5260736dc1f05e83e3c95c8a504bb6ef1137315f8d4b8c9ff560bfe6e,44dae0bae662ea5ebb863a1fdfe3f68878235f3117cc11e0409f147ddda36f95,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,85718b3c6463c35a4b218b8d81b6fcf2170940b1af7bf49fb7fd54dff17ebdfb,f03647c376fe834f9bb1c3d6834ed42732ef3e7e1047eeff352af49b31ed607f,0.7742262072686338,0.5484524145372676,0.41278949952242,3.496240753438151,569.9616796999908,7.94232177734375,19.841537475585938,0.0,,completed
fbv1-019-lendingclub_v2-lr-lasso-l1-logistic-s42,fbv1-019-lendingclub_v2-lr-lasso-l1-logistic-s42,19,oot,lendingclub_v2,locked_oot,lasso_l1_logistic,lasso_l1_logistic_v1,selector,lr,675,unsupported_not_persisted_by_prompt_10,20,natural_support_or_cap,20.0,True,completed,42,7a1051c67031d12958760a417f69e62ec0ed2298bc9d27c2e5d2b391291dce31,58a4c0cae484435637172dabe24671608cf022babfd29425aba0879e68244714,e455f6dae0c55f6bd47aaeefde05ef6ad1468aa1053f9be7013b109c2b94c162,5ffd29c4c8a7ae81db2f848958775f7a19ce9da49247d5160865d0cbc2c3e436,f03647c376fe834f9bb1c3d6834ed42732ef3e7e1047eeff352af49b31ed607f,0.6811035325109065,0.362207065021813,0.2569709569059342,2.0583661058936307,3296.3518974000035,28.349166870117188,0.2546882629394531,904.262487,,completed
fbv1-020-lendingclub_v2-catboost-lasso-l1-logistic-s42,fbv1-020-lendingclub_v2-catboost-lasso-l1-logistic-s42,20,oot,lendingclub_v2,locked_oot,lasso_l1_logistic,lasso_l1_logistic_v1,selector,catboost,675,unsupported_not_persisted_by_prompt_10,40,natural_support_or_cap,40.0,True,completed,42,46d75206821fc099b2d21d4823d3020258267719bcbd15e9d90a3fcd6d898062,58a4c0cae484435637172dabe24671608cf022babfd29425aba0879e68244714,e455f6dae0c55f6bd47aaeefde05ef6ad1468aa1053f9be7013b109c2b94c162,5cd8f9d048e759a6c76578e13253d93f0f0fc410585854d6d8d97ee7cb2ad176,f03647c376fe834f9bb1c3d6834ed42732ef3e7e1047eeff352af49b31ed607f,0.7096269175074682,0.4192538350149364,0.3006616494792721,2.2059050530524953,5784.314165799995,28.265827178955078,0.3631935119628906,3114.3601440000057,,completed
