run_id,dataset,model,method_id,split,metric,stored_value,recomputed_value,absolute_difference,tolerance,status
fbv1-004-lendingclub_v2-catboost-full-features-s42,lendingclub_v2,catboost,full_features,oot,ks,0.3202729629236113,0.32027296292361135,5.551115123125783e-17,1e-12,pass
fbv1-004-lendingclub_v2-catboost-full-features-s42,lendingclub_v2,catboost,full_features,oot,log_loss,0.5882500688072909,0.5882500688072909,0.0,1e-12,pass
fbv1-004-lendingclub_v2-catboost-full-features-s42,lendingclub_v2,catboost,full_features,oot,brier,0.2020377608789456,0.20203776087894562,2.7755575615628914e-17,1e-12,pass
fbv1-004-lendingclub_v2-catboost-full-features-s42,lendingclub_v2,catboost,full_features,oot,lift_at_10,2.2867804242855567,2.2867804242855567,0.0,1e-12,pass
fbv1-005-homecredit-lr-random-k-s42,homecredit,lr,random_k,dev,auc,0.6209968803534988,0.6209968803534988,0.0,1e-12,pass
fbv1-005-homecredit-lr-random-k-s42,homecredit,lr,random_k,dev,gini,0.2419937607069975,0.24199376070699752,2.7755575615628914e-17,1e-12,pass
fbv1-005-homecredit-lr-random-k-s42,homecredit,lr,random_k,dev,ks,0.1759133530554213,0.17591335305542133,2.7755575615628914e-17,1e-12,pass
fbv1-005-homecredit-lr-random-k-s42,homecredit,lr,random_k,dev,log_loss,0.6702955789774717,0.6702955789774717,0.0,1e-12,pass
fbv1-005-homecredit-lr-random-k-s42,homecredit,lr,random_k,dev,brier,0.2388229357633595,0.23882293576335956,5.551115123125783e-17,1e-12,pass
fbv1-005-homecredit-lr-random-k-s42,homecredit,lr,random_k,oot,auc,0.6278237662995227,0.6278237662995227,0.0,1e-12,pass
fbv1-005-homecredit-lr-random-k-s42,homecredit,lr,random_k,oot,gini,0.2556475325990455,0.2556475325990455,0.0,1e-12,pass
fbv1-005-homecredit-lr-random-k-s42,homecredit,lr,random_k,oot,ks,0.1882023944156673,0.18820239441566738,8.326672684688674e-17,1e-12,pass
fbv1-005-homecredit-lr-random-k-s42,homecredit,lr,random_k,oot,log_loss,0.6559455405756864,0.6559455405756864,0.0,1e-12,pass
fbv1-005-homecredit-lr-random-k-s42,homecredit,lr,random_k,oot,brier,0.2317703002812171,0.23177030028121715,5.551115123125783e-17,1e-12,pass
fbv1-005-homecredit-lr-random-k-s42,homecredit,lr,random_k,oot,lift_at_10,1.8617926409799093,1.8617926409799093,0.0,1e-12,pass
