family_id,dataset,model,reference,family_size,rejected_count,minimum_raw_p,minimum_adjusted_p,holm_scope
baseline_vs_full_features__homecredit__catboost,homecredit,catboost,full_features,7,7,6.187343436921721e-113,4.3311404058452045e-112,within_named_dataset_model_reference_family
baseline_vs_full_features__homecredit__lr,homecredit,lr,full_features,7,7,9.279515893241669e-90,6.495661125269168e-89,within_named_dataset_model_reference_family
baseline_vs_full_features__lendingclub_v2__catboost,lendingclub_v2,catboost,full_features,7,7,0.0,0.0,within_named_dataset_model_reference_family
baseline_vs_full_features__lendingclub_v2__lr,lendingclub_v2,lr,full_features,7,7,0.0,0.0,within_named_dataset_model_reference_family
baseline_vs_random_k__homecredit__catboost,homecredit,catboost,random_k,7,7,0.0,0.0,within_named_dataset_model_reference_family
baseline_vs_random_k__homecredit__lr,homecredit,lr,random_k,7,7,0.0,0.0,within_named_dataset_model_reference_family
baseline_vs_random_k__lendingclub_v2__catboost,lendingclub_v2,catboost,random_k,7,7,0.0,0.0,within_named_dataset_model_reference_family
baseline_vs_random_k__lendingclub_v2__lr,lendingclub_v2,lr,random_k,7,7,0.0,0.0,within_named_dataset_model_reference_family
