run_id,dataset,model,method_id,selection_seconds,final_model_fit_seconds,evaluation_seconds,reported_total_runtime_seconds,active_computation_seconds,ram_wait_seconds,peak_process_rss_gib,minimum_available_ram_gib,resource_sample_count,ram_wait_count,historical_attempt_count,completed_attempts,terminal_state,warnings
fbv1-001-homecredit-lr-full-features-s42,homecredit,lr,full_features,9.341024160385132,1044.9488530158997,19.442110300064087,1102.1027846336365,,0.0,9.027095794677734,18.385860443115234,1152,0,0,1,completed,
fbv1-002-homecredit-catboost-full-features-s42,homecredit,catboost,full_features,7.568529367446899,1862.5966594219208,16.416969537734985,1910.5231807231903,,0.0,10.453445434570312,14.970687866210938,1964,0,0,1,completed,
fbv1-003-lendingclub_v2-lr-full-features-s42,lendingclub_v2,lr,full_features,86.1138048171997,6515.366230249405,75.04164147377014,6845.229108810425,6964.255931599997,0.0,22.56481170654297,3.947418212890625,1392,0,0,1,completed,
fbv1-004-lendingclub_v2-catboost-full-features-s42,lendingclub_v2,catboost,full_features,92.78121662139893,14212.41985654831,69.55772566795349,14534.837069511414,14654.651616400006,0.0,20.57247543334961,7.130462646484375,2929,0,2,1,completed,
fbv1-005-homecredit-lr-random-k-s42,homecredit,lr,random_k,7.129151582717896,2.0785207748413086,0.7312114238739014,18.54058861732483,107.38028349999513,0.0,7.937736511230469,19.471649169921875,22,0,0,1,completed,
fbv1-006-homecredit-catboost-random-k-s42,homecredit,catboost,random_k,7.169694423675537,149.39981532096863,1.198864459991455,168.06108808517456,240.53463680000277,0.0,7.949802398681641,19.4705810546875,48,0,0,1,completed,
fbv1-007-lendingclub_v2-lr-random-k-s42,lendingclub_v2,lr,random_k,85.47788619995117,5.458167791366577,2.615242719650269,135.56499028205872,247.9892802999966,0.0,24.09133529663086,3.898456573486328,50,0,0,1,completed,
fbv1-008-lendingclub_v2-catboost-random-k-s42,lendingclub_v2,catboost,random_k,86.12321996688843,1046.2283771038055,3.859879970550537,1185.8041293621063,1297.4817389999953,0.0,19.576950073242188,8.13845443725586,260,0,0,1,completed,
fbv1-009-homecredit-lr-iv-woe-s42,homecredit,lr,iv_woe,89.83272504806519,1.0553443431854248,0.758399486541748,100.2528383731842,173.79296089999843,0.0,7.932334899902344,19.56692123413086,35,0,0,1,completed,
fbv1-010-homecredit-catboost-iv-woe-s42,homecredit,catboost,iv_woe,90.60597634315492,171.1508445739746,2.333227634429932,275.0642206668854,347.0224307000026,0.0,7.267284393310547,20.476821899414062,70,0,0,1,completed,
fbv1-011-lendingclub_v2-lr-iv-woe-s42,lendingclub_v2,lr,iv_woe,653.2767980098724,11.620355367660522,4.975072622299194,716.6760687828064,829.5514819000091,0.0,23.145084381103516,4.725883483886719,166,0,0,1,completed,
fbv1-012-lendingclub_v2-catboost-iv-woe-s42,lendingclub_v2,catboost,iv_woe,659.0859589576721,1348.2924592494965,9.134800672531128,2077.454292535782,2189.832045999996,0.0,24.440418243408203,3.484119415283203,438,0,0,1,completed,
fbv1-013-homecredit-lr-mrmr-mutual-information-s42,homecredit,lr,mrmr_mutual_information,192.9556155204773,0.923051118850708,0.8974142074584961,204.24080181121823,277.0491084000096,0.0,7.947971343994141,19.967090606689453,56,0,0,1,completed,
fbv1-014-homecredit-catboost-mrmr-mutual-information-s42,homecredit,catboost,mrmr_mutual_information,381.89188385009766,148.7241358757019,1.667514085769653,544.2770285606384,616.9911934999982,0.0,7.941749572753906,19.978225708007812,124,0,0,1,completed,
fbv1-015-lendingclub_v2-lr-mrmr-mutual-information-s42,lendingclub_v2,lr,mrmr_mutual_information,1150.0512855052948,14.20871639251709,3.6681935787200928,1214.505447626114,1327.5359159000072,0.0,23.827831268310547,3.988269805908203,266,0,0,1,completed,
fbv1-016-lendingclub_v2-catboost-mrmr-mutual-information-s42,lendingclub_v2,catboost,mrmr_mutual_information,2102.5212881565094,816.5315783023834,7.34804368019104,2986.3285982608795,3098.527769399996,0.0,21.808055877685547,6.242103576660156,620,0,0,1,completed,
fbv1-017-homecredit-lr-lasso-l1-logistic-s42,homecredit,lr,lasso_l1_logistic,319.3061399459839,1.3054049015045166,0.8730959892272949,330.439160823822,402.8792689999973,0.0,7.937934875488281,19.728485107421875,81,0,0,1,completed,
fbv1-018-homecredit-catboost-lasso-l1-logistic-s42,homecredit,catboost,lasso_l1_logistic,320.03658413887024,165.1280906200409,1.4338889122009275,497.5840249061585,569.9616796999908,0.0,7.94232177734375,19.841537475585938,114,0,0,1,completed,
fbv1-019-lendingclub_v2-lr-lasso-l1-logistic-s42,lendingclub_v2,lr,lasso_l1_logistic,4003.152808666229,30.84222722053528,6.3242347240448,4086.9276237487793,3296.3518974000035,904.262487,28.349166870117188,0.2546882629394531,839,1,0,1,completed,
fbv1-020-lendingclub_v2-catboost-lasso-l1-logistic-s42,lendingclub_v2,catboost,lasso_l1_logistic,7060.206649541855,1590.4804723262787,11.785328149795532,8776.854173660278,5784.314165799995,3114.3601440000057,28.265827178955078,0.3631935119628906,1776,1,0,1,completed,
fbv1-021-homecredit-lr-legacy-rf-relevance-corr-s42,homecredit,lr,legacy_rf_relevance_corr,1507.7198855876925,2.749129056930542,2.131263732910156,1535.2602109909058,1735.0974403,0.0,8.860675811767578,8.049022674560547,347,0,0,1,completed,
fbv1-022-homecredit-catboost-legacy-rf-relevance-corr-s42,homecredit,catboost,legacy_rf_relevance_corr,1401.8136072158811,402.48881340026855,2.7474524974823,1824.352934360504,2008.9727562000044,0.0,8.572521209716797,6.948833465576172,402,0,0,1,completed,
fbv1-023-lendingclub_v2-lr-legacy-rf-relevance-corr-s42,lendingclub_v2,lr,legacy_rf_relevance_corr,1304.921100139618,9.939643621444702,4.706928014755249,1369.0124819278717,1534.392534499988,0.0,22.941734313964844,6.128334045410156,307,0,0,1,completed,
fbv1-024-lendingclub_v2-catboost-legacy-rf-relevance-corr-s42,lendingclub_v2,catboost,legacy_rf_relevance_corr,1106.013652086258,1197.4668383598328,8.691576480865479,2368.2624821662903,2482.805767999991,0.0,18.612403869628906,10.358451843261719,497,0,0,1,completed,
fbv1-025-homecredit-lr-catboost-shap-s42,homecredit,lr,catboost_shap,173.61778664588928,2.078763961791992,1.0380160808563232,186.1041481494904,259.12606850000157,0.0,7.933174133300781,20.86617660522461,52,0,0,1,completed,
fbv1-026-homecredit-catboost-catboost-shap-s42,homecredit,catboost,catboost_shap,197.84831166267395,220.15340304374692,2.482632875442505,435.6666975021362,509.43676130000676,0.0,7.931484222412109,20.94228744506836,102,0,0,1,completed,
fbv1-027-lendingclub_v2-lr-catboost-shap-s42,lendingclub_v2,lr,catboost_shap,448.5580494403839,42.166167974472046,8.725852251052856,550.556414604187,710.1681345999968,0.0,22.364009857177734,6.4377899169921875,142,0,0,1,completed,
fbv1-028-lendingclub_v2-catboost-catboost-shap-s42,lendingclub_v2,catboost,catboost_shap,419.6290097236633,1252.9035875797272,12.721378326416016,1746.741856098175,1860.0032035999902,0.0,23.593677520751953,5.030559539794922,372,0,0,1,completed,
fbv1-029-homecredit-lr-boruta-random-forest-s42,homecredit,lr,boruta_random_forest,1547.3034229278564,2.5459890365600586,1.2653868198394775,1560.8614921569824,1634.0049351000052,0.0,7.9321136474609375,21.01412582397461,327,0,0,1,completed,
