direction,source_representation,projected_dataset,valid_embedding_count,semantic_group_count,knn_k,cosine_knn_purity,shuffle_permutations,shuffled_mean,shuffled_p95,shuffled_p975,umap_trustworthiness,excluded_feature_count,main_exclusion_reasons,semantic_taxonomy,comparison_limitations,source_embedding_path,source_manifest_path
Home Credit → LendingClub v2,corrected Home Credit-trained CLIP (selected seed 55),LendingClub v2,576,17,10,0.528125,200,0.10102256944444445,0.10818576388888888,0.1104296875,0.9797115051045693,0,none within the authenticated 576-row external-pair universe,LendingClub v2 semantic-group taxonomy (17 groups),The LendingClub and Home Credit taxonomies differ materially; purity values must not be ranked as if labels were identical.,results/corrected_homecredit_clip/training/lendingclub_v2_joint_embeddings.parquet,results/corrected_homecredit_clip/training/training_manifest.json
LendingClub v2 → Home Credit,five-seed corrected LendingClub v2-trained CLIP consensus,Home Credit,436,11,10,0.7538990825688073,200,0.14014564220183487,0.15120412844036693,0.15390481651376145,0.9876015883232063,95,missing_semantic_text_embedding: 95,Home Credit semantic-group taxonomy (11 represented groups),The Home Credit and LendingClub taxonomies differ materially; purity values must not be ranked as if labels were identical.,results/corrected_lendingclub_to_homecredit_transfer/reverse_projection/homecredit_reverse_embeddings.parquet,results/corrected_lendingclub_to_homecredit_transfer/reverse_projection/reverse_projection_manifest.json
