comparison_id,family_id,family_status,dataset,model,method,method_configuration,reference,direction,metric,method_value,reference_value,difference,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_attempted,bootstrap_valid,delong_z,raw_p_value,holm_input_p,holm_adjusted_p_value,holm_reject,win_tie_loss,population_rows,population_events,ordered_case_id_sha256,ordered_case_id_target_sha256,paired_identity_target_sha256,budget_match_status,natural_support_status,exploratory,availability,evidence_grade,method_prediction_path,reference_prediction_path,unavailable_reason,authentication_reference
p14-b-011__homecredit__lr__legacy_rf_relevance_corr__k20__vs__random_k,baseline_vs_random_k__homecredit__lr,evaluable,homecredit,lr,legacy_rf_relevance_corr,k20,random_k,method_a_minus_method_b,roc_auc,0.7447520668100092,0.6278237662995227,0.11692830051048642,0.1113243789132748,0.1226322340638809,2000,2000,38.62794315751103,0.0,0.0,0.0,True,win,120053,10688,08a815a762fc309aeba22ed42f9b772f39e1b6a8ce9c41f5eb1644b1c2f2f860,d25fae6ded74dac8a32745d73659ce5437f238609fe6b3b40ad07daf4536d472,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,requested_and_realized_k_matched,"{""method_a"":""budget_satisfied"",""method_b"":""budget_satisfied""}",False,evaluable,strong,results/full_baseline_v1/runs/homecredit/fbv1-021-homecredit-lr-legacy-rf-relevance-corr-s42/predictions_oot.csv,results/full_baseline_v1/runs/homecredit/fbv1-005-homecredit-lr-random-k-s42/predictions_oot.csv,,authentication_validation.json
p14-b-012__homecredit__lr__catboost_shap__k20__vs__random_k,baseline_vs_random_k__homecredit__lr,evaluable,homecredit,lr,catboost_shap,k20,random_k,method_a_minus_method_b,roc_auc,0.7501298442067997,0.6278237662995227,0.12230607790727699,0.1165367800372543,0.1283497379234296,2000,2000,39.23295063380201,0.0,0.0,0.0,True,win,120053,10688,08a815a762fc309aeba22ed42f9b772f39e1b6a8ce9c41f5eb1644b1c2f2f860,d25fae6ded74dac8a32745d73659ce5437f238609fe6b3b40ad07daf4536d472,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,requested_and_realized_k_matched,"{""method_a"":""budget_satisfied"",""method_b"":""budget_satisfied""}",False,evaluable,strong,results/full_baseline_v1/runs/homecredit/fbv1-025-homecredit-lr-catboost-shap-s42/predictions_oot.csv,results/full_baseline_v1/runs/homecredit/fbv1-005-homecredit-lr-random-k-s42/predictions_oot.csv,,authentication_validation.json
p14-b-013__homecredit__lr__boruta_random_forest__k20__vs__random_k,baseline_vs_random_k__homecredit__lr,evaluable,homecredit,lr,boruta_random_forest,k20,random_k,method_a_minus_method_b,roc_auc,0.7397382371452405,0.6278237662995227,0.1119144708457177,0.106487771514559,0.1173987093875614,2000,2000,37.95408315978356,3.30431306e-315,3.30431306e-315,1.321725224e-314,True,win,120053,10688,08a815a762fc309aeba22ed42f9b772f39e1b6a8ce9c41f5eb1644b1c2f2f860,d25fae6ded74dac8a32745d73659ce5437f238609fe6b3b40ad07daf4536d472,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,requested_and_realized_k_matched,"{""method_a"":""budget_satisfied"",""method_b"":""budget_satisfied""}",False,evaluable,strong,results/full_baseline_v1/runs/homecredit/fbv1-029-homecredit-lr-boruta-random-forest-s42/predictions_oot.csv,results/full_baseline_v1/runs/homecredit/fbv1-005-homecredit-lr-random-k-s42/predictions_oot.csv,,authentication_validation.json
p14-b-014__homecredit__lr__rfe_catboost__k20__vs__random_k,baseline_vs_random_k__homecredit__lr,evaluable,homecredit,lr,rfe_catboost,k20,random_k,method_a_minus_method_b,roc_auc,0.7465460931107201,0.6278237662995227,0.11872232681119732,0.1129700358853168,0.124459221290908,2000,2000,38.407890347207655,1e-322,1e-322,4.94e-322,True,win,120053,10688,08a815a762fc309aeba22ed42f9b772f39e1b6a8ce9c41f5eb1644b1c2f2f860,d25fae6ded74dac8a32745d73659ce5437f238609fe6b3b40ad07daf4536d472,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,requested_and_realized_k_matched,"{""method_a"":""budget_satisfied"",""method_b"":""budget_satisfied""}",False,evaluable,strong,results/full_baseline_v1/runs/homecredit/fbv1-033-homecredit-lr-rfe-catboost-s42/predictions_oot.csv,results/full_baseline_v1/runs/homecredit/fbv1-005-homecredit-lr-random-k-s42/predictions_oot.csv,,authentication_validation.json
p14-b-015__homecredit__catboost__iv_woe__k40__vs__full_features,baseline_vs_full_features__homecredit__catboost,evaluable,homecredit,catboost,iv_woe,k40,full_features,method_a_minus_method_b,roc_auc,0.7685707064474809,0.78603200864079,-0.017461302193309103,-0.0193834384105195,-0.0153899254493002,2000,2000,-16.52793080555247,2.3093623763476493e-61,2.3093623763476493e-61,9.237449505390597e-61,True,loss,120053,10688,08a815a762fc309aeba22ed42f9b772f39e1b6a8ce9c41f5eb1644b1c2f2f860,d25fae6ded74dac8a32745d73659ce5437f238609fe6b3b40ad07daf4536d472,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,not_applicable_full_feature_reference,"{""method_a"":""budget_satisfied"",""method_b"":""full_feature_reference""}",False,evaluable,not_supported,results/full_baseline_v1/runs/homecredit/fbv1-010-homecredit-catboost-iv-woe-s42/predictions_oot.csv,results/full_baseline_v1/runs/homecredit/fbv1-002-homecredit-catboost-full-features-s42/predictions_oot.csv,,authentication_validation.json
p14-b-016__homecredit__catboost__mrmr_mutual_information__k40__vs__full_features,baseline_vs_full_features__homecredit__catboost,evaluable,homecredit,catboost,mrmr_mutual_information,k40,full_features,method_a_minus_method_b,roc_auc,0.759898780138256,0.78603200864079,-0.026133228502534078,-0.0286488592515626,-0.023636320701417,2000,2000,-20.82362462752967,2.6440851253757543e-96,2.6440851253757543e-96,1.5864510752254527e-95,True,loss,120053,10688,08a815a762fc309aeba22ed42f9b772f39e1b6a8ce9c41f5eb1644b1c2f2f860,d25fae6ded74dac8a32745d73659ce5437f238609fe6b3b40ad07daf4536d472,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,not_applicable_full_feature_reference,"{""method_a"":""budget_satisfied"",""method_b"":""full_feature_reference""}",False,evaluable,not_supported,results/full_baseline_v1/runs/homecredit/fbv1-014-homecredit-catboost-mrmr-mutual-information-s42/predictions_oot.csv,results/full_baseline_v1/runs/homecredit/fbv1-002-homecredit-catboost-full-features-s42/predictions_oot.csv,,authentication_validation.json
p14-b-017__homecredit__catboost__lasso_l1_logistic__k40__vs__full_features,baseline_vs_full_features__homecredit__catboost,evaluable,homecredit,catboost,lasso_l1_logistic,k40,full_features,method_a_minus_method_b,roc_auc,0.7742262072686338,0.78603200864079,-0.011805801372156255,-0.0135847682977208,-0.0099757770411035,2000,2000,-12.457983440978888,1.2652970627064044e-35,1.2652970627064044e-35,3.795891188119213e-35,True,loss,120053,10688,08a815a762fc309aeba22ed42f9b772f39e1b6a8ce9c41f5eb1644b1c2f2f860,d25fae6ded74dac8a32745d73659ce5437f238609fe6b3b40ad07daf4536d472,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,not_applicable_full_feature_reference,"{""method_a"":""budget_satisfied"",""method_b"":""full_feature_reference""}",False,evaluable,not_supported,results/full_baseline_v1/runs/homecredit/fbv1-018-homecredit-catboost-lasso-l1-logistic-s42/predictions_oot.csv,results/full_baseline_v1/runs/homecredit/fbv1-002-homecredit-catboost-full-features-s42/predictions_oot.csv,,authentication_validation.json
p14-b-018__homecredit__catboost__legacy_rf_relevance_corr__k40__vs__full_features,baseline_vs_full_features__homecredit__catboost,evaluable,homecredit,catboost,legacy_rf_relevance_corr,k40,full_features,method_a_minus_method_b,roc_auc,0.7698045497949376,0.78603200864079,-0.016227458845852416,-0.0181391571754652,-0.0143539820817835,2000,2000,-16.584113899491427,9.079497019269274e-62,9.079497019269274e-62,4.539748509634637e-61,True,loss,120053,10688,08a815a762fc309aeba22ed42f9b772f39e1b6a8ce9c41f5eb1644b1c2f2f860,d25fae6ded74dac8a32745d73659ce5437f238609fe6b3b40ad07daf4536d472,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,not_applicable_full_feature_reference,"{""method_a"":""budget_satisfied"",""method_b"":""full_feature_reference""}",False,evaluable,not_supported,results/full_baseline_v1/runs/homecredit/fbv1-022-homecredit-catboost-legacy-rf-relevance-corr-s42/predictions_oot.csv,results/full_baseline_v1/runs/homecredit/fbv1-002-homecredit-catboost-full-features-s42/predictions_oot.csv,,authentication_validation.json
p14-b-019__homecredit__catboost__catboost_shap__k40__vs__full_features,baseline_vs_full_features__homecredit__catboost,evaluable,homecredit,catboost,catboost_shap,k40,full_features,method_a_minus_method_b,roc_auc,0.7795351956558698,0.78603200864079,-0.006496812984920219,-0.0082595331085531,-0.0048071312328367,2000,2000,-7.537339479317397,4.7965649773037306e-14,4.7965649773037306e-14,9.593129954607461e-14,True,loss,120053,10688,08a815a762fc309aeba22ed42f9b772f39e1b6a8ce9c41f5eb1644b1c2f2f860,d25fae6ded74dac8a32745d73659ce5437f238609fe6b3b40ad07daf4536d472,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,not_applicable_full_feature_reference,"{""method_a"":""budget_satisfied"",""method_b"":""full_feature_reference""}",False,evaluable,not_supported,results/full_baseline_v1/runs/homecredit/fbv1-026-homecredit-catboost-catboost-shap-s42/predictions_oot.csv,results/full_baseline_v1/runs/homecredit/fbv1-002-homecredit-catboost-full-features-s42/predictions_oot.csv,,authentication_validation.json
p14-b-020__homecredit__catboost__boruta_random_forest__k40__vs__full_features,baseline_vs_full_features__homecredit__catboost,evaluable,homecredit,catboost,boruta_random_forest,k40,full_features,method_a_minus_method_b,roc_auc,0.7542024954343132,0.78603200864079,-0.03182951320647687,-0.0345040379312011,-0.0289779865630486,2000,2000,-22.58426946490737,6.187343436921721e-113,6.187343436921721e-113,4.3311404058452045e-112,True,loss,120053,10688,08a815a762fc309aeba22ed42f9b772f39e1b6a8ce9c41f5eb1644b1c2f2f860,d25fae6ded74dac8a32745d73659ce5437f238609fe6b3b40ad07daf4536d472,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,oot_refit_40_vs_frozen_reference_support_26_exploratory,"{""method_a"":""infeasible_natural_support"",""method_b"":""full_feature_reference""}",True,evaluable,not_supported,results/full_baseline_v1/runs/homecredit/fbv1-030-homecredit-catboost-boruta-random-forest-s42/predictions_oot.csv,results/full_baseline_v1/runs/homecredit/fbv1-002-homecredit-catboost-full-features-s42/predictions_oot.csv,,authentication_validation.json
p14-b-021__homecredit__catboost__rfe_catboost__k40__vs__full_features,baseline_vs_full_features__homecredit__catboost,evaluable,homecredit,catboost,rfe_catboost,k40,full_features,method_a_minus_method_b,roc_auc,0.7814255198969775,0.78603200864079,-0.004606488743812531,-0.0060539499753408,-0.0032312785150108,2000,2000,-6.359835665292972,2.0196971130365743e-10,2.0196971130365743e-10,2.0196971130365743e-10,True,loss,120053,10688,08a815a762fc309aeba22ed42f9b772f39e1b6a8ce9c41f5eb1644b1c2f2f860,d25fae6ded74dac8a32745d73659ce5437f238609fe6b3b40ad07daf4536d472,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,not_applicable_full_feature_reference,"{""method_a"":""budget_satisfied"",""method_b"":""full_feature_reference""}",False,evaluable,not_supported,results/full_baseline_v1/runs/homecredit/fbv1-034-homecredit-catboost-rfe-catboost-s42/predictions_oot.csv,results/full_baseline_v1/runs/homecredit/fbv1-002-homecredit-catboost-full-features-s42/predictions_oot.csv,,authentication_validation.json
p14-b-022__homecredit__catboost__iv_woe__k40__vs__random_k,baseline_vs_random_k__homecredit__catboost,evaluable,homecredit,catboost,iv_woe,k40,random_k,method_a_minus_method_b,roc_auc,0.7685707064474809,0.685393258196267,0.08317744825121398,0.0786130635279982,0.0880413755664846,2000,2000,32.56176340853017,1.4271114598060322e-232,1.4271114598060322e-232,4.281334379418097e-232,True,win,120053,10688,08a815a762fc309aeba22ed42f9b772f39e1b6a8ce9c41f5eb1644b1c2f2f860,d25fae6ded74dac8a32745d73659ce5437f238609fe6b3b40ad07daf4536d472,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,requested_and_realized_k_matched,"{""method_a"":""budget_satisfied"",""method_b"":""budget_satisfied""}",False,evaluable,strong,results/full_baseline_v1/runs/homecredit/fbv1-010-homecredit-catboost-iv-woe-s42/predictions_oot.csv,results/full_baseline_v1/runs/homecredit/fbv1-006-homecredit-catboost-random-k-s42/predictions_oot.csv,,authentication_validation.json
p14-b-023__homecredit__catboost__mrmr_mutual_information__k40__vs__random_k,baseline_vs_random_k__homecredit__catboost,evaluable,homecredit,catboost,mrmr_mutual_information,k40,random_k,method_a_minus_method_b,roc_auc,0.759898780138256,0.685393258196267,0.074505521941989,0.0695711389977212,0.0796466523389237,2000,2000,28.12634540654617,4.666433435247515e-174,4.666433435247515e-174,9.33286687049503e-174,True,win,120053,10688,08a815a762fc309aeba22ed42f9b772f39e1b6a8ce9c41f5eb1644b1c2f2f860,d25fae6ded74dac8a32745d73659ce5437f238609fe6b3b40ad07daf4536d472,f5045e863d8debb0b80a5f67d62dcc27f62d80660b6395d4a41b1e05b07b07be,requested_and_realized_k_matched,"{""method_a"":""budget_satisfied"",""method_b"":""budget_satisfied""}",False,evaluable,strong,results/full_baseline_v1/runs/homecredit/fbv1-014-homecredit-catboost-mrmr-mutual-information-s42/predictions_oot.csv,results/full_baseline_v1/runs/homecredit/fbv1-006-homecredit-catboost-random-k-s42/predictions_oot.csv,,authentication_validation.json
