record_kind,record_id,fit_order,configuration_order,fit_id,method_id,model,requested_feature_budget,realized_support,status,reason,natural_support_like_for_like,prediction_rows,prediction_alignment_authenticated,metric_recalculation_authenticated,fit_seconds,preprocessing_seconds,training_seconds,prediction_seconds,metric_seconds,total_seconds,manifest_sha256,artifact_path
evaluation,cell_010,10,10.0,fit_010,lasso_l1_logistic,catboost,40.0,40.0,complete,,True,204567.0,True,True,,1.7711156000150368,71.66903099999763,1.1349807999795303,0.16532430006191134,74.7407164000906,06d5666fefbe05082e8551cf5bce2d55333cf0d4c6a923b990c23755e62e7b3e,results/prompt_16_homecredit_model_stability_2024/pilot_v1/fold_1/evaluations/cell_010
evaluation,cell_011,11,11.0,fit_011,legacy_rf_relevance_corr,lr,20.0,20.0,complete,,True,204567.0,True,True,,0.21348979999311268,0.47499330004211515,0.06633069994859397,0.17034230008721352,0.9253088999539614,8acafc3644349074eab0013400d6204cf92525eef4dd0f8af598ac07ccd5a180,results/prompt_16_homecredit_model_stability_2024/pilot_v1/fold_1/evaluations/cell_011
evaluation,cell_012,12,12.0,fit_012,legacy_rf_relevance_corr,catboost,40.0,40.0,complete,,True,204567.0,True,True,,0.5771655000280589,79.96106630004942,1.0552904999349266,0.16758650005795062,81.76134399999864,6f360b4786c98de66d8d798144dc6b9244aa095134d6c056dc9e01813f470d1b,results/prompt_16_homecredit_model_stability_2024/pilot_v1/fold_1/evaluations/cell_012
evaluation,cell_013,13,13.0,fit_013,catboost_shap,lr,20.0,20.0,complete,,True,204567.0,True,True,,1.0523445999715477,2.13050500000827,0.10490369994658977,0.17149599990807474,3.4594245000043884,ac21178a1fadb9d45e4cd3d36824f107bf9dcc1ade58c9e95a3f9226fb70ee1e,results/prompt_16_homecredit_model_stability_2024/pilot_v1/fold_1/evaluations/cell_013
evaluation,cell_014,14,14.0,fit_014,catboost_shap,catboost,40.0,40.0,complete,,True,204567.0,True,True,,1.768924800097011,109.8245534999296,1.0624842999968678,0.16970900003798306,112.82593479997013,7cd7633e966396cb24efaf53fb226f606c070f599573b8db507546626ff16734,results/prompt_16_homecredit_model_stability_2024/pilot_v1/fold_1/evaluations/cell_014
evaluation,cell_015,15,15.0,fit_015,boruta_random_forest,lr,20.0,20.0,complete,,True,204567.0,True,True,,0.5884786000242457,2.939667999977246,0.12353099999018013,0.15719900000840425,3.8090354000451043,b769ab6cb5bf468bdbe01ac9c8e2041b3db4d507608e4985a5c37cbaa84c450c,results/prompt_16_homecredit_model_stability_2024/pilot_v1/fold_1/evaluations/cell_015
evaluation,cell_016,16,16.0,fit_016,boruta_random_forest,catboost,40.0,40.0,complete,,True,204567.0,True,True,,1.2366483000805601,127.03570829995442,1.0723503000335768,0.1730464999563992,129.5180049999617,f843c6b410993438b75559d11a75d666d1c91fafd458a172ea925dfb49c07c44,results/prompt_16_homecredit_model_stability_2024/pilot_v1/fold_1/evaluations/cell_016
evaluation,cell_017,17,17.0,fit_017,rfe_catboost,lr,20.0,20.0,complete,,True,204567.0,True,True,,0.35972209996543825,0.6413811999373138,0.07915030000731349,0.18155280000064522,1.261992200044915,166dee925453b8ffdaae4ff77cd6b62cb9360d1737aa7c3f3c304aca46726f24,results/prompt_16_homecredit_model_stability_2024/pilot_v1/fold_1/evaluations/cell_017
evaluation,cell_018,18,18.0,fit_018,rfe_catboost,catboost,40.0,40.0,complete,,True,204567.0,True,True,,1.5261590000009164,130.01678089995403,1.0540416999720037,0.1737233999883756,132.77104639995378,6a4ffb95b8075bed5fb4bc44f622ce9d89c20826920cdf692d7b1bff1c83a5a1,results/prompt_16_homecredit_model_stability_2024/pilot_v1/fold_1/evaluations/cell_018
evaluation,cell_019,19,19.0,fit_019,statistical_normalized_average_rank,lr,20.0,20.0,complete,,True,204567.0,True,True,,0.33242920006159693,0.6236508999718353,0.07708960003219545,0.1831836000783369,1.2165332000004128,c17288f377e665617a72941dfa2bd5c61ddec35c8dfa96bf50cffa11f779325b,results/prompt_16_homecredit_model_stability_2024/pilot_v1/fold_1/evaluations/cell_019
