evidence_cohort,dataset,cell_id,method_id,model,requested_k,realized_k,oot_rows,oot_events,event_rate,status,reason,auc,gini,ks,decision_threshold,precision,recall,f1,accuracy,log_loss,brier,lift_at_10,bad_rate_capture_at_10,score_psi,feature_psi_mean,feature_psi_median,feature_psi_max,runtime_seconds,feature_selection_seconds,training_seconds,peak_rss_bytes,source_artifact,source_sha256
canonical_llm_matrix_v2,homecredit,lr_statistical_mrmr_53a793cb32fe,mrmr,lr,20,20,120053,10688,0.0890273462554039,completed,,0.745688916365595,0.491377832731191,0.361827389316827,0.4888285422154,0.164037651508639,0.714165419161677,0.266794826983572,0.65053767919169,0.625942574132208,0.216273495341516,3.09581499949875,0.309599550898204,0.0064942157560373,0.0132777450520324,0.0057425728646052,0.0774384249230514,728.35892033577,698.762846946716,0.970216989517212,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_mrmr_53a793cb32fe\results\experiment_summary.csv,1fd3615a476acd38b90527068df12d0541ab702c2900fe9e363e27bfc2cddf8d
canonical_llm_matrix_v2,homecredit,lr_statistical_boruta_80d39f8dcf68,boruta,lr,20,20,120053,10688,0.0890273462554039,completed,,0.630621531504951,0.261243063009901,0.18737557972794,0.500236751415952,0.12202861235517,0.629678143712575,0.204438098999073,0.563701032044181,0.67650366445039,0.241516908801161,2.03580944058909,0.203592814371257,0.0023915375935114,0.0040641445709297,0.0036418496579443,0.0118606546540912,1011.15872621536,991.812987804413,1.99436235427856,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_boruta_80d39f8dcf68\results\experiment_summary.csv,ccefa918f29de3b3b417183c6bf4e300630acec514d557873f99ae58b0524c59
canonical_llm_matrix_v2,homecredit,lr_statistical_pca_7d168b078e9c,pca,lr,20,20,120053,10688,0.0890273462554039,completed,,0.67290266880859,0.345805337617181,0.259738255624261,0.498837186968379,0.130846305862774,0.706212574850299,0.220785678766783,0.556212672736208,0.700582238769668,0.247550085421864,2.26970298845088,0.226983532934132,0.0290731598152953,0.0359852430021331,0.0277259160820003,0.121680962111383,17.5847988128662,2.38460421562195,0.633591651916504,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_pca_7d168b078e9c\results\experiment_summary.csv,d3f2e990e9abf5d621ba1d4357495fc2e21b74bb4d219e36d7f064dbc5740b12
canonical_llm_matrix_v2,homecredit,lr_statistical_domain_rule_baseline_cfdde445ea74,domain_rule_baseline,lr,20,20,120053,10688,0.0890273462554039,completed,,0.724895791584435,0.44979158316887,0.334621070402057,0.489567224064362,0.153583548393652,0.707148203592814,0.25235813619593,0.626973086886625,0.648596976833403,0.226768392879608,2.87127719355143,0.287144461077844,0.0111861096849787,0.0030217023965349,0.0018419903822683,0.020728354694539,17.8530609607697,14.0313611030579,1.26322317123413,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_domain_rule_baseline_cfdde445ea74\results\experiment_summary.csv,48553a929487b1f0618a531485bc2373acaefa0d671ee332fff7bd79c6e3e124
canonical_llm_matrix_v2,homecredit,lr_llm_llm_66fabfd650a1,llm,lr,20,20,120053,10688,0.0890273462554039,completed,,0.739955878942978,0.479911757885956,0.357343517429549,0.504887202047681,0.1668874469566,0.695452844311377,0.269179930106651,0.663806818655094,0.629759319745361,0.218644890572611,3.03219595448035,0.303237275449102,0.0066036247194321,0.0014573126310974,0,0.020728354694539,47.6981401443482,39.5471591949463,3.23672819137573,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\llm\lr_llm_llm_66fabfd650a1\results\experiment_summary.csv,8081bdc05b20255070f6725c6c45a38bfe9bc3f9a54a4b8576c663fe635f2f56
canonical_llm_matrix_v2,homecredit,lr_hybrid_llm_then_mrmr_f69e1a0cffc2,llm_then_mrmr,lr,20,20,120053,10688,0.0890273462554039,completed,,0.738098423404186,0.476196846808372,0.353690945670037,0.477430207977663,0.159156437927342,0.723053892215569,0.26088717844845,0.635261093017251,0.622714795058858,0.215508843410363,2.95080099982444,0.295097305389222,0.0037977934894958,0.0117735129162021,0.0059587548184744,0.054843731054879,85.9959678649902,80.5677175521851,0.63156795501709,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\hybrid_mrmr\lr_hybrid_llm_then_mrmr_f69e1a0cffc2\results\experiment_summary.csv,00e65f77288b688fb34718a60c4315a39d7870ae06fc22a4894e94f26a240c8d
canonical_llm_matrix_v2,homecredit,lr_hybrid_llm_then_boruta_9ceedb78b89f,llm_then_boruta,lr,20,20,120053,10688,0.0890273462554039,completed,,0.648779956460005,0.297559912920011,0.215127009217062,0.510474253734064,0.132812008637498,0.592720808383233,0.217000359669104,0.61919318967456,0.665252700932589,0.236599912594413,2.15836965966867,0.215849550898204,0.0008732253604919,0.004721776841117,0.0036288343676315,0.0122852875785272,248.927180051804,242.692442178726,1.36233806610107,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\hybrid_boruta\lr_hybrid_llm_then_boruta_9ceedb78b89f\results\experiment_summary.csv,961fde92868ec85891806423df4108a9125289feb15b3dc6b90fb66e01215acd
canonical_llm_matrix_v2,homecredit,lr_hybrid_stable_core_llm_fill_1ddd0142e614,stable_core_llm_fill,lr,20,20,120053,10688,0.0890273462554039,completed,,0.748857251379835,0.49771450275967,0.368780087438619,0.488183874375393,0.166340806395551,0.716410928143713,0.269992947813822,0.655102329804336,0.620176235796208,0.213760404606648,3.10329959303033,0.310348053892216,0.0050343905497813,0.0125130691904831,0.0052863643477645,0.0774384249230514,1475.43821287155,1459.71463823318,0.861806869506836,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\hybrid_stable_core_llm_fill\lr_hybrid_stable_core_llm_fill_1ddd0142e614\results\experiment_summary.csv,36865e8419ed5e20de4dafaa94ce16a38d7abe109a9dcaf4781a390bd2c36f21
canonical_llm_matrix_v2,homecredit,catboost_statistical_mrmr_3858b721e537,mrmr,catboost,40,40,120053,10688,0.0890273462554039,completed,,0.766838938191372,0.533677876382744,0.401699607916248,0.521231414365233,0.239752612497334,0.525916916167665,0.32935868514341,0.809325881069194,0.441290685230749,0.141885265271778,3.40361890848488,0.340381736526946,0.0102022055166872,0.0187403093156186,0.0059587548184744,0.166968442957718,960.189537286758,680.031504631042,262.034370660782,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\catboost\statistical\catboost_statistical_mrmr_3858b721e537\results\experiment_summary.csv,0d5f4cb6f0a00aa4c017cfb936fafd35e4ca3e11be8a23eec2a7af92b73f140a
canonical_llm_matrix_v2,homecredit,catboost_statistical_boruta_486630bccdb9,boruta,catboost,40,40,120053,10688,0.0890273462554039,completed,,0.68520759323145,0.370415186462899,0.271299488014781,0.503934704523161,0.166021931647431,0.485872005988024,0.247480162985203,0.736941184310263,0.517219926027601,0.171655328972482,2.50453211050413,0.250467814371257,0.0031578717791192,0.0062396249614808,0.0039088440026589,0.0222507773906048,1239.38891220093,950.849885940552,270.386175870895,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\catboost\statistical\catboost_statistical_boruta_486630bccdb9\results\experiment_summary.csv,e45d1a0b875179184d3efbdd47626333520eb97512737a5e23c88e90159e3584
