evidence_cohort,dataset,method_id,model,valid_fold_count,mean_pairwise_jaccard,nogueira_stability,kuncheva_stability,source_artifact,source_sha256
canonical_llm_matrix_v2,lendingclub_v2,boruta,lr,5,0.624071560623285,0.74236641221374,0.74236641221374,D:\python projects\Research_pre_cleanup_backup_20260704\results\lendingclub_v2\lr\statistical\lr_statistical_boruta_a5cb18c42069\features\feature_stability_metrics.csv,0b66f1031689abc40a86294cfa6da7ef8f98ca9400e407623066ae755297adfe
canonical_llm_matrix_v2,lendingclub_v2,pca,lr,5,1,1,1,D:\python projects\Research_pre_cleanup_backup_20260704\results\lendingclub_v2\lr\statistical\lr_statistical_pca_7247c89ceae5\features\feature_stability_metrics.csv,8a7e8971b310ad3e77ac8e43e27bcc303428114349529abcbb661fd8922a136c
canonical_llm_matrix_v2,lendingclub_v2,domain_rule_baseline,lr,5,1,1,1,D:\python projects\Research_pre_cleanup_backup_20260704\results\lendingclub_v2\lr\statistical\lr_statistical_domain_rule_baseline_97d75bbd34ef\features\feature_stability_metrics.csv,ef2d95192786a1fa51ed012bc91dabd81152bc7fc2c36413e04419ad68e7840f
canonical_llm_matrix_v2,lendingclub_v2,llm,lr,5,0.401115812667537,0.551717557251908,0.551717557251908,D:\python projects\Research_pre_cleanup_backup_20260704\results\lendingclub_v2\lr\llm\lr_llm_llm_bb103e2ac012\features\feature_stability_metrics.csv,bba0bad3a5f13d974363e7d767f1eaa0b213c11b527648100f6667fb28e0c4fe
canonical_llm_matrix_v2,lendingclub_v2,llm_then_mrmr,lr,5,0.441132092683817,0.59293893129771,0.59293893129771,D:\python projects\Research_pre_cleanup_backup_20260704\results\lendingclub_v2\lr\hybrid_mrmr\lr_hybrid_llm_then_mrmr_45d98f9ad95c\features\feature_stability_metrics.csv,4cbedf0dad4ff2acc269af4fb499aef26f5a872f36c14b53c0f642e93174eb33
canonical_llm_matrix_v2,lendingclub_v2,llm_then_boruta,lr,5,0.410348536090224,0.541412213740458,0.541412213740458,D:\python projects\Research_pre_cleanup_backup_20260704\results\lendingclub_v2\lr\hybrid_boruta\lr_hybrid_llm_then_boruta_4ecceaa878fc\features\feature_stability_metrics.csv,74f6321bca3708b66800dd64c80e9e356cd3c2e910cfdd674af23e9001f9e924
canonical_llm_matrix_v2,lendingclub_v2,stable_core_llm_fill,lr,5,0.578262920931587,0.711450381679389,0.711450381679389,D:\python projects\Research_pre_cleanup_backup_20260704\results\lendingclub_v2\lr\hybrid_stable_core_llm_fill\lr_hybrid_stable_core_llm_fill_497f694ad76d\features\feature_stability_metrics.csv,3f3ca740cc9f567336f1d8bf139f6ff1a8765fea8adf369f17c54d4406a5cf4c
canonical_llm_matrix_v2,lendingclub_v2,mrmr,catboost,5,0.664245392558223,0.776771653543307,0.776771653543307,D:\python projects\Research_pre_cleanup_backup_20260704\results\lendingclub_v2\catboost\statistical\catboost_statistical_mrmr_94a6a14a53a4\features\feature_stability_metrics.csv,57461245f0bea3a0a5c17da439dbd3540f54455d89e543353299287203efc55b
canonical_llm_matrix_v2,lendingclub_v2,boruta,catboost,5,0.641715435231373,0.755511811023622,0.755511811023622,D:\python projects\Research_pre_cleanup_backup_20260704\results\lendingclub_v2\catboost\statistical\catboost_statistical_boruta_effd06e32b3d\features\feature_stability_metrics.csv,c17f8d3b7006e338e75dacd731e48aa4aff7266153e2f17cac8c230e81d7fdcd
canonical_llm_matrix_v2,lendingclub_v2,pca,catboost,5,1,1,1,D:\python projects\Research_pre_cleanup_backup_20260704\results\lendingclub_v2\catboost\statistical\catboost_statistical_pca_0e10cf48968e\features\feature_stability_metrics.csv,7db134d5e426286d3db73df1c5a651702e5e1efd597348814ee5b4fdb0d203a1
canonical_llm_matrix_v2,lendingclub_v2,domain_rule_baseline,catboost,5,1,1,1,D:\python projects\Research_pre_cleanup_backup_20260704\results\lendingclub_v2\catboost\statistical\catboost_statistical_domain_rule_baseline_9f4a8907eaf7\features\feature_stability_metrics.csv,7bafa7c58610819abdf5c9c1ed35c67c48e271b5dddb7528a366d2304629e8c9
canonical_llm_matrix_v2,lendingclub_v2,llm,catboost,5,0.482787755478917,0.627952755905512,0.627952755905512,D:\python projects\Research_pre_cleanup_backup_20260704\results\lendingclub_v2\catboost\llm\catboost_llm_llm_e6489647a93c\features\feature_stability_metrics.csv,661ca0f1e35a100a0eb836e464ee9984ee6a4652291bfbdac2b5353b4add4ff3
canonical_llm_matrix_v2,lendingclub_v2,llm_then_mrmr,catboost,5,0.407215237795483,0.540255905511811,0.540255905511811,D:\python projects\Research_pre_cleanup_backup_20260704\results\lendingclub_v2\catboost\hybrid_mrmr\catboost_hybrid_llm_then_mrmr_59865aa71763\features\feature_stability_metrics.csv,1ea1e0e70ba717bb970f2cac4bb564f898cc00b27377e00c5f86fc0dbddd95bf
canonical_llm_matrix_v2,lendingclub_v2,llm_then_boruta,catboost,5,0.492012126143274,0.633267716535433,0.633267716535433,D:\python projects\Research_pre_cleanup_backup_20260704\results\lendingclub_v2\catboost\hybrid_boruta\catboost_hybrid_llm_then_boruta_10179060705b\features\feature_stability_metrics.csv,2f6c74e64423a55f63c199ad4ad109ab550f805944f2cf8ee26c3d602a4ce0bc
canonical_llm_matrix_v2,lendingclub_v2,stable_core_llm_fill,catboost,5,0.584225558472291,0.712992125984252,0.712992125984252,D:\python projects\Research_pre_cleanup_backup_20260704\results\lendingclub_v2\catboost\hybrid_stable_core_llm_fill\catboost_hybrid_stable_core_llm_fill_8da7f3b51c4a\features\feature_stability_metrics.csv,14cbb06a3a5381cd24e787319c18d7b3dde22547d0f049071e4ac4a6525942c5
prompt16_final_amended,homecredit_model_stability_2024,boruta_random_forest,catboost,3,0.468846016002835,,,tables/feature_selections_by_fold.csv,derived_from_authenticated_selection_sets
prompt16_final_amended,homecredit_model_stability_2024,boruta_random_forest,lr,3,0.445433197379805,,,tables/feature_selections_by_fold.csv,derived_from_authenticated_selection_sets
prompt16_final_amended,homecredit_model_stability_2024,boruta_then_mrmr_mutual_information,catboost,3,0.326047358834244,,,tables/feature_selections_by_fold.csv,derived_from_authenticated_selection_sets
prompt16_final_amended,homecredit_model_stability_2024,boruta_then_mrmr_mutual_information,lr,3,0.203703703703704,,,tables/feature_selections_by_fold.csv,derived_from_authenticated_selection_sets
