evidence_cohort,dataset,split,cell_id,method_id,model,status,reason,feature_selection_seconds,training_seconds,runtime_seconds,peak_rss_bytes,source_artifact,source_sha256,minimum_available_ram_bytes,ram_wait_seconds,supervisor_attempts,automatic_retries
canonical_llm_matrix_v2,homecredit,DEV,lr_statistical_domain_rule_baseline_cfdde445ea74,domain_rule_baseline,lr,completed,,1.12937593460083,0.0497939586639404,1.28119897842407,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_domain_rule_baseline_cfdde445ea74\results\cv_results.csv,b9de408515b941942ff4161a0dc6c89c49e9485dd251974766a8ebf94bfa9cda,,,,
canonical_llm_matrix_v2,homecredit,DEV,lr_statistical_domain_rule_baseline_cfdde445ea74,domain_rule_baseline,lr,completed,,1.59836149215698,0.0857307910919189,1.81456971168518,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_domain_rule_baseline_cfdde445ea74\results\cv_results.csv,b9de408515b941942ff4161a0dc6c89c49e9485dd251974766a8ebf94bfa9cda,,,,
canonical_llm_matrix_v2,homecredit,DEV,lr_statistical_domain_rule_baseline_cfdde445ea74,domain_rule_baseline,lr,completed,,2.06117558479309,0.174445629119873,2.38205575942993,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_domain_rule_baseline_cfdde445ea74\results\cv_results.csv,b9de408515b941942ff4161a0dc6c89c49e9485dd251974766a8ebf94bfa9cda,,,,
canonical_llm_matrix_v2,homecredit,DEV,lr_statistical_domain_rule_baseline_cfdde445ea74,domain_rule_baseline,lr,completed,,2.54188752174377,0.255006313323975,2.97729825973511,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_domain_rule_baseline_cfdde445ea74\results\cv_results.csv,b9de408515b941942ff4161a0dc6c89c49e9485dd251974766a8ebf94bfa9cda,,,,
canonical_llm_matrix_v2,homecredit,DEV,lr_statistical_domain_rule_baseline_cfdde445ea74,domain_rule_baseline,lr,completed,,3.08222913742065,0.301367521286011,3.5843071937561,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\statistical\lr_statistical_domain_rule_baseline_cfdde445ea74\results\cv_results.csv,b9de408515b941942ff4161a0dc6c89c49e9485dd251974766a8ebf94bfa9cda,,,,
canonical_llm_matrix_v2,homecredit,DEV,lr_llm_llm_66fabfd650a1,llm,lr,completed,,3.12985873222351,0.10509181022644,3.63181710243225,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\llm\lr_llm_llm_66fabfd650a1\results\cv_results.csv,5cebec3115fcc438f690785c1efa0e425ba15afd3b4ade074c66f95f2d9e8b6a,,,,
canonical_llm_matrix_v2,homecredit,DEV,lr_llm_llm_66fabfd650a1,llm,lr,completed,,4.39032173156738,0.0726275444030761,4.60294008255005,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\llm\lr_llm_llm_66fabfd650a1\results\cv_results.csv,5cebec3115fcc438f690785c1efa0e425ba15afd3b4ade074c66f95f2d9e8b6a,,,,
canonical_llm_matrix_v2,homecredit,DEV,lr_llm_llm_66fabfd650a1,llm,lr,completed,,5.61754035949707,0.495261907577515,6.78512763977051,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\llm\lr_llm_llm_66fabfd650a1\results\cv_results.csv,5cebec3115fcc438f690785c1efa0e425ba15afd3b4ade074c66f95f2d9e8b6a,,,,
canonical_llm_matrix_v2,homecredit,DEV,lr_llm_llm_66fabfd650a1,llm,lr,completed,,7.17092156410217,0.675642251968384,8.40142273902893,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\llm\lr_llm_llm_66fabfd650a1\results\cv_results.csv,5cebec3115fcc438f690785c1efa0e425ba15afd3b4ade074c66f95f2d9e8b6a,,,,
canonical_llm_matrix_v2,homecredit,DEV,lr_llm_llm_66fabfd650a1,llm,lr,completed,,8.67284083366394,0.992889165878296,10.3522343635559,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\llm\lr_llm_llm_66fabfd650a1\results\cv_results.csv,5cebec3115fcc438f690785c1efa0e425ba15afd3b4ade074c66f95f2d9e8b6a,,,,
canonical_llm_matrix_v2,homecredit,DEV,lr_hybrid_llm_then_mrmr_f69e1a0cffc2,llm_then_mrmr,lr,completed,,8.0349588394165,0.0196602344512939,8.35228848457336,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\hybrid_mrmr\lr_hybrid_llm_then_mrmr_f69e1a0cffc2\results\cv_results.csv,2c523086b70e2b8bace2a9647e951c2c7611c677c99a80856a41dfc93e412578,,,,
canonical_llm_matrix_v2,homecredit,DEV,lr_hybrid_llm_then_mrmr_f69e1a0cffc2,llm_then_mrmr,lr,completed,,9.93816804885864,0.0415232181549072,10.3258128166199,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\hybrid_mrmr\lr_hybrid_llm_then_mrmr_f69e1a0cffc2\results\cv_results.csv,2c523086b70e2b8bace2a9647e951c2c7611c677c99a80856a41dfc93e412578,,,,
canonical_llm_matrix_v2,homecredit,DEV,lr_hybrid_llm_then_mrmr_f69e1a0cffc2,llm_then_mrmr,lr,completed,,12.8548474311829,0.137529134750366,13.4768643379211,,D:\python projects\Research_pre_cleanup_backup_20260704\results\homecredit\lr\hybrid_mrmr\lr_hybrid_llm_then_mrmr_f69e1a0cffc2\results\cv_results.csv,2c523086b70e2b8bace2a9647e951c2c7611c677c99a80856a41dfc93e412578,,,,
