evidence_cohort,dataset,method_id,model,semantic_group,role,selected_feature_count,within_selection_share
canonical_llm_matrix_v2,homecredit,llm_then_mrmr,lr,bureau_debt,hybrid_role_not_separately_authenticated,3,0.15
canonical_llm_matrix_v2,homecredit,llm_then_mrmr,lr,demographic_time_variables,hybrid_role_not_separately_authenticated,1,0.05
canonical_llm_matrix_v2,homecredit,llm_then_mrmr,lr,external_score,hybrid_role_not_separately_authenticated,3,0.15
canonical_llm_matrix_v2,homecredit,llm_then_mrmr,lr,income_capacity,hybrid_role_not_separately_authenticated,2,0.1
canonical_llm_matrix_v2,homecredit,llm_then_mrmr,lr,installment_repayment_behavior,hybrid_role_not_separately_authenticated,7,0.35
canonical_llm_matrix_v2,homecredit,llm_then_mrmr,lr,other,hybrid_role_not_separately_authenticated,1,0.05
canonical_llm_matrix_v2,homecredit,mrmr,catboost,bureau_credit_history,classical_selected,5,0.125
canonical_llm_matrix_v2,homecredit,mrmr,catboost,bureau_debt,classical_selected,5,0.125
canonical_llm_matrix_v2,homecredit,mrmr,catboost,credit_card_utilization,classical_selected,2,0.05
canonical_llm_matrix_v2,homecredit,mrmr,catboost,delinquency_behavior,classical_selected,2,0.05
canonical_llm_matrix_v2,homecredit,mrmr,catboost,demographic_time_variables,classical_selected,4,0.1
canonical_llm_matrix_v2,homecredit,mrmr,catboost,external_score,classical_selected,3,0.075
canonical_llm_matrix_v2,homecredit,mrmr,catboost,income_capacity,classical_selected,2,0.05
canonical_llm_matrix_v2,homecredit,mrmr,catboost,installment_repayment_behavior,classical_selected,9,0.225
canonical_llm_matrix_v2,homecredit,mrmr,catboost,other,classical_selected,2,0.05
canonical_llm_matrix_v2,homecredit,mrmr,catboost,previous_application_behavior,classical_selected,6,0.15
canonical_llm_matrix_v2,homecredit,mrmr,lr,bureau_credit_history,classical_selected,2,0.1
canonical_llm_matrix_v2,homecredit,mrmr,lr,bureau_debt,classical_selected,2,0.1
canonical_llm_matrix_v2,homecredit,mrmr,lr,credit_card_utilization,classical_selected,2,0.1
canonical_llm_matrix_v2,homecredit,mrmr,lr,delinquency_behavior,classical_selected,1,0.05
canonical_llm_matrix_v2,homecredit,mrmr,lr,demographic_time_variables,classical_selected,2,0.1
canonical_llm_matrix_v2,homecredit,mrmr,lr,external_score,classical_selected,3,0.15
canonical_llm_matrix_v2,homecredit,mrmr,lr,income_capacity,classical_selected,1,0.05
canonical_llm_matrix_v2,homecredit,mrmr,lr,installment_repayment_behavior,classical_selected,4,0.2
canonical_llm_matrix_v2,homecredit,mrmr,lr,previous_application_behavior,classical_selected,3,0.15
canonical_llm_matrix_v2,homecredit,pca,catboost,other,classical_selected,40,1
canonical_llm_matrix_v2,homecredit,pca,lr,other,classical_selected,20,1
canonical_llm_matrix_v2,homecredit,stable_core_llm_fill,catboost,application_amounts,hybrid_role_not_separately_authenticated,2,0.05
canonical_llm_matrix_v2,homecredit,stable_core_llm_fill,catboost,bureau_credit_history,hybrid_role_not_separately_authenticated,8,0.2
canonical_llm_matrix_v2,homecredit,stable_core_llm_fill,catboost,bureau_debt,hybrid_role_not_separately_authenticated,6,0.15
canonical_llm_matrix_v2,homecredit,stable_core_llm_fill,catboost,credit_card_utilization,hybrid_role_not_separately_authenticated,2,0.05
canonical_llm_matrix_v2,homecredit,stable_core_llm_fill,catboost,delinquency_behavior,hybrid_role_not_separately_authenticated,1,0.025
canonical_llm_matrix_v2,homecredit,stable_core_llm_fill,catboost,demographic_time_variables,hybrid_role_not_separately_authenticated,4,0.1
canonical_llm_matrix_v2,homecredit,stable_core_llm_fill,catboost,external_score,hybrid_role_not_separately_authenticated,3,0.075
canonical_llm_matrix_v2,homecredit,stable_core_llm_fill,catboost,income_capacity,hybrid_role_not_separately_authenticated,3,0.075
canonical_llm_matrix_v2,homecredit,stable_core_llm_fill,catboost,installment_repayment_behavior,hybrid_role_not_separately_authenticated,6,0.15
canonical_llm_matrix_v2,homecredit,stable_core_llm_fill,catboost,previous_application_behavior,hybrid_role_not_separately_authenticated,5,0.125
canonical_llm_matrix_v2,homecredit,stable_core_llm_fill,lr,application_amounts,hybrid_role_not_separately_authenticated,2,0.1
canonical_llm_matrix_v2,homecredit,stable_core_llm_fill,lr,bureau_debt,hybrid_role_not_separately_authenticated,4,0.2
canonical_llm_matrix_v2,homecredit,stable_core_llm_fill,lr,credit_card_utilization,hybrid_role_not_separately_authenticated,1,0.05
canonical_llm_matrix_v2,homecredit,stable_core_llm_fill,lr,delinquency_behavior,hybrid_role_not_separately_authenticated,1,0.05
canonical_llm_matrix_v2,homecredit,stable_core_llm_fill,lr,demographic_time_variables,hybrid_role_not_separately_authenticated,2,0.1
canonical_llm_matrix_v2,homecredit,stable_core_llm_fill,lr,external_score,hybrid_role_not_separately_authenticated,3,0.15
canonical_llm_matrix_v2,homecredit,stable_core_llm_fill,lr,income_capacity,hybrid_role_not_separately_authenticated,2,0.1
canonical_llm_matrix_v2,homecredit,stable_core_llm_fill,lr,installment_repayment_behavior,hybrid_role_not_separately_authenticated,2,0.1
canonical_llm_matrix_v2,homecredit,stable_core_llm_fill,lr,previous_application_behavior,hybrid_role_not_separately_authenticated,3,0.15
canonical_llm_matrix_v2,lendingclub_v2,boruta,catboost,account_opening_activity,classical_selected,11,0.275
canonical_llm_matrix_v2,lendingclub_v2,boruta,catboost,bankcard_capacity,classical_selected,8,0.2
canonical_llm_matrix_v2,lendingclub_v2,boruta,catboost,credit_history_length,classical_selected,5,0.125
canonical_llm_matrix_v2,lendingclub_v2,boruta,catboost,income_capacity,classical_selected,3,0.075
canonical_llm_matrix_v2,lendingclub_v2,boruta,catboost,loan_terms,classical_selected,3,0.075
canonical_llm_matrix_v2,lendingclub_v2,boruta,catboost,other,classical_selected,7,0.175
canonical_llm_matrix_v2,lendingclub_v2,boruta,catboost,revolving_utilization,classical_selected,3,0.075
canonical_llm_matrix_v2,lendingclub_v2,boruta,lr,account_opening_activity,classical_selected,11,0.55
canonical_llm_matrix_v2,lendingclub_v2,boruta,lr,credit_history_length,classical_selected,1,0.05
canonical_llm_matrix_v2,lendingclub_v2,boruta,lr,income_capacity,classical_selected,1,0.05
canonical_llm_matrix_v2,lendingclub_v2,boruta,lr,loan_terms,classical_selected,3,0.15
canonical_llm_matrix_v2,lendingclub_v2,boruta,lr,other,classical_selected,3,0.15
canonical_llm_matrix_v2,lendingclub_v2,boruta,lr,revolving_utilization,classical_selected,1,0.05
canonical_llm_matrix_v2,lendingclub_v2,domain_rule_baseline,catboost,delinquency_behavior,classical_selected,31,0.775
canonical_llm_matrix_v2,lendingclub_v2,domain_rule_baseline,catboost,income_capacity,classical_selected,3,0.075
canonical_llm_matrix_v2,lendingclub_v2,domain_rule_baseline,catboost,other,classical_selected,6,0.15
canonical_llm_matrix_v2,lendingclub_v2,domain_rule_baseline,lr,delinquency_behavior,classical_selected,19,0.95
canonical_llm_matrix_v2,lendingclub_v2,domain_rule_baseline,lr,other,classical_selected,1,0.05
canonical_llm_matrix_v2,lendingclub_v2,llm,catboost,account_opening_activity,llm_ranked,3,0.075
canonical_llm_matrix_v2,lendingclub_v2,llm,catboost,bankcard_capacity,llm_ranked,5,0.125
canonical_llm_matrix_v2,lendingclub_v2,llm,catboost,credit_history_length,llm_ranked,3,0.075
canonical_llm_matrix_v2,lendingclub_v2,llm,catboost,exposure_amount,llm_ranked,2,0.05
canonical_llm_matrix_v2,lendingclub_v2,llm,catboost,fico_credit_score,llm_ranked,2,0.05
canonical_llm_matrix_v2,lendingclub_v2,llm,catboost,income_capacity,llm_ranked,8,0.2
canonical_llm_matrix_v2,lendingclub_v2,llm,catboost,loan_terms,llm_ranked,4,0.1
canonical_llm_matrix_v2,lendingclub_v2,llm,catboost,mortgage_history,llm_ranked,2,0.05
canonical_llm_matrix_v2,lendingclub_v2,llm,catboost,other,llm_ranked,1,0.025
canonical_llm_matrix_v2,lendingclub_v2,llm,catboost,recent_inquiries,llm_ranked,1,0.025
canonical_llm_matrix_v2,lendingclub_v2,llm,catboost,revolving_utilization,llm_ranked,9,0.225
canonical_llm_matrix_v2,lendingclub_v2,llm,lr,account_opening_activity,llm_ranked,2,0.1
canonical_llm_matrix_v2,lendingclub_v2,llm,lr,bankcard_capacity,llm_ranked,3,0.15
canonical_llm_matrix_v2,lendingclub_v2,llm,lr,credit_history_length,llm_ranked,1,0.05
canonical_llm_matrix_v2,lendingclub_v2,llm,lr,exposure_amount,llm_ranked,1,0.05
canonical_llm_matrix_v2,lendingclub_v2,llm,lr,fico_credit_score,llm_ranked,2,0.1
canonical_llm_matrix_v2,lendingclub_v2,llm,lr,income_capacity,llm_ranked,3,0.15
canonical_llm_matrix_v2,lendingclub_v2,llm,lr,loan_terms,llm_ranked,4,0.2
canonical_llm_matrix_v2,lendingclub_v2,llm,lr,revolving_utilization,llm_ranked,4,0.2
canonical_llm_matrix_v2,lendingclub_v2,llm_then_boruta,catboost,account_opening_activity,hybrid_role_not_separately_authenticated,9,0.225
canonical_llm_matrix_v2,lendingclub_v2,llm_then_boruta,catboost,bankcard_capacity,hybrid_role_not_separately_authenticated,5,0.125
canonical_llm_matrix_v2,lendingclub_v2,llm_then_boruta,catboost,credit_history_length,hybrid_role_not_separately_authenticated,3,0.075
canonical_llm_matrix_v2,lendingclub_v2,llm_then_boruta,catboost,fico_credit_score,hybrid_role_not_separately_authenticated,5,0.125
canonical_llm_matrix_v2,lendingclub_v2,llm_then_boruta,catboost,income_capacity,hybrid_role_not_separately_authenticated,7,0.175
canonical_llm_matrix_v2,lendingclub_v2,llm_then_boruta,catboost,loan_terms,hybrid_role_not_separately_authenticated,3,0.075
canonical_llm_matrix_v2,lendingclub_v2,llm_then_boruta,catboost,other,hybrid_role_not_separately_authenticated,4,0.1
canonical_llm_matrix_v2,lendingclub_v2,llm_then_boruta,catboost,revolving_utilization,hybrid_role_not_separately_authenticated,4,0.1
canonical_llm_matrix_v2,lendingclub_v2,llm_then_boruta,lr,account_opening_activity,hybrid_role_not_separately_authenticated,1,0.05
canonical_llm_matrix_v2,lendingclub_v2,llm_then_boruta,lr,bankcard_capacity,hybrid_role_not_separately_authenticated,4,0.2
canonical_llm_matrix_v2,lendingclub_v2,llm_then_boruta,lr,credit_history_length,hybrid_role_not_separately_authenticated,2,0.1
canonical_llm_matrix_v2,lendingclub_v2,llm_then_boruta,lr,fico_credit_score,hybrid_role_not_separately_authenticated,6,0.3
canonical_llm_matrix_v2,lendingclub_v2,llm_then_boruta,lr,income_capacity,hybrid_role_not_separately_authenticated,5,0.25
canonical_llm_matrix_v2,lendingclub_v2,llm_then_boruta,lr,loan_terms,hybrid_role_not_separately_authenticated,1,0.05
canonical_llm_matrix_v2,lendingclub_v2,llm_then_boruta,lr,revolving_utilization,hybrid_role_not_separately_authenticated,1,0.05
canonical_llm_matrix_v2,lendingclub_v2,llm_then_mrmr,catboost,account_opening_activity,hybrid_role_not_separately_authenticated,5,0.125
canonical_llm_matrix_v2,lendingclub_v2,llm_then_mrmr,catboost,bankcard_capacity,hybrid_role_not_separately_authenticated,4,0.1
canonical_llm_matrix_v2,lendingclub_v2,llm_then_mrmr,catboost,credit_history_length,hybrid_role_not_separately_authenticated,2,0.05
canonical_llm_matrix_v2,lendingclub_v2,llm_then_mrmr,catboost,fico_credit_score,hybrid_role_not_separately_authenticated,6,0.15
canonical_llm_matrix_v2,lendingclub_v2,llm_then_mrmr,catboost,income_capacity,hybrid_role_not_separately_authenticated,7,0.175
canonical_llm_matrix_v2,lendingclub_v2,llm_then_mrmr,catboost,loan_terms,hybrid_role_not_separately_authenticated,8,0.2
canonical_llm_matrix_v2,lendingclub_v2,llm_then_mrmr,catboost,mortgage_history,hybrid_role_not_separately_authenticated,1,0.025
canonical_llm_matrix_v2,lendingclub_v2,llm_then_mrmr,catboost,other,hybrid_role_not_separately_authenticated,4,0.1
canonical_llm_matrix_v2,lendingclub_v2,llm_then_mrmr,catboost,recent_inquiries,hybrid_role_not_separately_authenticated,1,0.025
canonical_llm_matrix_v2,lendingclub_v2,llm_then_mrmr,catboost,revolving_utilization,hybrid_role_not_separately_authenticated,2,0.05
canonical_llm_matrix_v2,lendingclub_v2,llm_then_mrmr,lr,account_opening_activity,hybrid_role_not_separately_authenticated,3,0.15
canonical_llm_matrix_v2,lendingclub_v2,llm_then_mrmr,lr,bankcard_capacity,hybrid_role_not_separately_authenticated,3,0.15
canonical_llm_matrix_v2,lendingclub_v2,llm_then_mrmr,lr,credit_history_length,hybrid_role_not_separately_authenticated,3,0.15
canonical_llm_matrix_v2,lendingclub_v2,llm_then_mrmr,lr,fico_credit_score,hybrid_role_not_separately_authenticated,2,0.1
canonical_llm_matrix_v2,lendingclub_v2,llm_then_mrmr,lr,income_capacity,hybrid_role_not_separately_authenticated,3,0.15
canonical_llm_matrix_v2,lendingclub_v2,llm_then_mrmr,lr,loan_terms,hybrid_role_not_separately_authenticated,3,0.15
canonical_llm_matrix_v2,lendingclub_v2,llm_then_mrmr,lr,other,hybrid_role_not_separately_authenticated,2,0.1
canonical_llm_matrix_v2,lendingclub_v2,llm_then_mrmr,lr,revolving_utilization,hybrid_role_not_separately_authenticated,1,0.05
canonical_llm_matrix_v2,lendingclub_v2,mrmr,catboost,account_opening_activity,classical_selected,6,0.15
canonical_llm_matrix_v2,lendingclub_v2,mrmr,catboost,bankcard_capacity,classical_selected,3,0.075
canonical_llm_matrix_v2,lendingclub_v2,mrmr,catboost,credit_history_length,classical_selected,2,0.05
