evidence_cohort,dataset,method_id,model,semantic_group,role,selected_feature_count,within_selection_share
prompt16_final_amended,homecredit_model_stability_2024,iv_woe,catboost,applprev,classical_selected,4,0.1
prompt16_final_amended,homecredit_model_stability_2024,iv_woe,catboost,credit_bureau_a,classical_selected,24,0.6
prompt16_final_amended,homecredit_model_stability_2024,iv_woe,catboost,static,classical_selected,12,0.3
prompt16_final_amended,homecredit_model_stability_2024,iv_woe,lr,applprev,classical_selected,1,0.05
prompt16_final_amended,homecredit_model_stability_2024,iv_woe,lr,credit_bureau_a,classical_selected,13,0.65
prompt16_final_amended,homecredit_model_stability_2024,iv_woe,lr,static,classical_selected,6,0.3
prompt16_final_amended,homecredit_model_stability_2024,legacy_rf_relevance_corr,catboost,applprev,classical_selected,4,0.1
prompt16_final_amended,homecredit_model_stability_2024,legacy_rf_relevance_corr,catboost,credit_bureau_a,classical_selected,16,0.4
prompt16_final_amended,homecredit_model_stability_2024,legacy_rf_relevance_corr,catboost,person,classical_selected,5,0.125
prompt16_final_amended,homecredit_model_stability_2024,legacy_rf_relevance_corr,catboost,static,classical_selected,12,0.3
prompt16_final_amended,homecredit_model_stability_2024,legacy_rf_relevance_corr,catboost,static_cb,classical_selected,3,0.075
prompt16_final_amended,homecredit_model_stability_2024,legacy_rf_relevance_corr,lr,applprev,classical_selected,2,0.1
prompt16_final_amended,homecredit_model_stability_2024,legacy_rf_relevance_corr,lr,credit_bureau_a,classical_selected,8,0.4
prompt16_final_amended,homecredit_model_stability_2024,legacy_rf_relevance_corr,lr,person,classical_selected,2,0.1
prompt16_final_amended,homecredit_model_stability_2024,legacy_rf_relevance_corr,lr,static,classical_selected,7,0.35
prompt16_final_amended,homecredit_model_stability_2024,legacy_rf_relevance_corr,lr,static_cb,classical_selected,1,0.05
prompt16_final_amended,homecredit_model_stability_2024,llm,catboost,static,llm_ranked,40,1
prompt16_final_amended,homecredit_model_stability_2024,llm,lr,static,llm_ranked,20,1
prompt16_final_amended,homecredit_model_stability_2024,mrmr_mutual_information,catboost,credit_bureau_a,classical_selected,19,0.475
prompt16_final_amended,homecredit_model_stability_2024,mrmr_mutual_information,catboost,credit_bureau_b,classical_selected,6,0.15
prompt16_final_amended,homecredit_model_stability_2024,mrmr_mutual_information,catboost,debitcard,classical_selected,6,0.15
prompt16_final_amended,homecredit_model_stability_2024,mrmr_mutual_information,catboost,person,classical_selected,2,0.05
prompt16_final_amended,homecredit_model_stability_2024,mrmr_mutual_information,catboost,static,classical_selected,4,0.1
prompt16_final_amended,homecredit_model_stability_2024,mrmr_mutual_information,catboost,static_cb,classical_selected,3,0.075
prompt16_final_amended,homecredit_model_stability_2024,mrmr_mutual_information,lr,credit_bureau_a,classical_selected,8,0.4
prompt16_final_amended,homecredit_model_stability_2024,mrmr_mutual_information,lr,credit_bureau_b,classical_selected,2,0.1
prompt16_final_amended,homecredit_model_stability_2024,mrmr_mutual_information,lr,debitcard,classical_selected,2,0.1
prompt16_final_amended,homecredit_model_stability_2024,mrmr_mutual_information,lr,person,classical_selected,2,0.1
prompt16_final_amended,homecredit_model_stability_2024,mrmr_mutual_information,lr,static,classical_selected,3,0.15
prompt16_final_amended,homecredit_model_stability_2024,mrmr_mutual_information,lr,static_cb,classical_selected,3,0.15
prompt16_final_amended,homecredit_model_stability_2024,random_k,catboost,applprev,classical_selected,3,0.075
prompt16_final_amended,homecredit_model_stability_2024,random_k,catboost,credit_bureau_a,classical_selected,14,0.35
prompt16_final_amended,homecredit_model_stability_2024,random_k,catboost,credit_bureau_b,classical_selected,9,0.225
prompt16_final_amended,homecredit_model_stability_2024,random_k,catboost,other,classical_selected,1,0.025
prompt16_final_amended,homecredit_model_stability_2024,random_k,catboost,person,classical_selected,7,0.175
prompt16_final_amended,homecredit_model_stability_2024,random_k,catboost,static,classical_selected,4,0.1
prompt16_final_amended,homecredit_model_stability_2024,random_k,catboost,static_cb,classical_selected,1,0.025
prompt16_final_amended,homecredit_model_stability_2024,random_k,catboost,tax_registry_c,classical_selected,1,0.025
prompt16_final_amended,homecredit_model_stability_2024,random_k,lr,applprev,classical_selected,2,0.1
prompt16_final_amended,homecredit_model_stability_2024,random_k,lr,credit_bureau_a,classical_selected,8,0.4
prompt16_final_amended,homecredit_model_stability_2024,random_k,lr,credit_bureau_b,classical_selected,4,0.2
prompt16_final_amended,homecredit_model_stability_2024,random_k,lr,person,classical_selected,3,0.15
prompt16_final_amended,homecredit_model_stability_2024,random_k,lr,static,classical_selected,2,0.1
prompt16_final_amended,homecredit_model_stability_2024,random_k,lr,static_cb,classical_selected,1,0.05
prompt16_final_amended,homecredit_model_stability_2024,rfe_catboost,catboost,applprev,classical_selected,3,0.075
prompt16_final_amended,homecredit_model_stability_2024,rfe_catboost,catboost,credit_bureau_a,classical_selected,17,0.425
prompt16_final_amended,homecredit_model_stability_2024,rfe_catboost,catboost,person,classical_selected,4,0.1
prompt16_final_amended,homecredit_model_stability_2024,rfe_catboost,catboost,static,classical_selected,12,0.3
prompt16_final_amended,homecredit_model_stability_2024,rfe_catboost,catboost,static_cb,classical_selected,3,0.075
prompt16_final_amended,homecredit_model_stability_2024,rfe_catboost,catboost,tax_registry_a,classical_selected,1,0.025
prompt16_final_amended,homecredit_model_stability_2024,rfe_catboost,lr,applprev,classical_selected,1,0.05
prompt16_final_amended,homecredit_model_stability_2024,rfe_catboost,lr,credit_bureau_a,classical_selected,9,0.45
prompt16_final_amended,homecredit_model_stability_2024,rfe_catboost,lr,person,classical_selected,2,0.1
prompt16_final_amended,homecredit_model_stability_2024,rfe_catboost,lr,static,classical_selected,5,0.25
prompt16_final_amended,homecredit_model_stability_2024,rfe_catboost,lr,static_cb,classical_selected,2,0.1
prompt16_final_amended,homecredit_model_stability_2024,rfe_catboost,lr,tax_registry_a,classical_selected,1,0.05
prompt16_final_amended,homecredit_model_stability_2024,stable_core_llm_fill,catboost,applprev,stable_core,4,0.1
prompt16_final_amended,homecredit_model_stability_2024,stable_core_llm_fill,catboost,credit_bureau_a,stable_core,10,0.25
prompt16_final_amended,homecredit_model_stability_2024,stable_core_llm_fill,catboost,person,stable_core,5,0.125
prompt16_final_amended,homecredit_model_stability_2024,stable_core_llm_fill,catboost,static,llm_fill,6,0.15
prompt16_final_amended,homecredit_model_stability_2024,stable_core_llm_fill,catboost,static,stable_core,12,0.3
prompt16_final_amended,homecredit_model_stability_2024,stable_core_llm_fill,catboost,static_cb,stable_core,3,0.075
prompt16_final_amended,homecredit_model_stability_2024,stable_core_llm_fill,lr,applprev,stable_core,2,0.1
prompt16_final_amended,homecredit_model_stability_2024,stable_core_llm_fill,lr,credit_bureau_a,stable_core,6,0.3
prompt16_final_amended,homecredit_model_stability_2024,stable_core_llm_fill,lr,static,llm_fill,5,0.25
prompt16_final_amended,homecredit_model_stability_2024,stable_core_llm_fill,lr,static,stable_core,7,0.35
