feature_name,semantic_group,umap_1,umap_2
delinquency_history_flag,delinquency_derogatory,-2.1823628,9.149812
delinquency_pressure,delinquency_derogatory,9.91585,0.29493126
delinquency_pressure_band,delinquency_derogatory,3.967972,18.350729
delinquency_pressure_x_fico,fico_credit_score,9.927259,-0.8370492
dti,income_capacity,11.9152775,6.240343
dti_adjusted_bc_util,income_capacity,12.479017,5.9628477
dti_adjusted_revol_util,income_capacity,12.49898,6.3408885
dti_band,income_capacity,3.3518574,18.719063
dti_joint_missing_flag,missingness_or_unknown,-1.6971838,10.828762
dti_missing_flag,missingness_or_unknown,-1.711495,10.925038
dti_x_bc_util,income_capacity,12.021283,6.3437448
dti_x_revol_util,income_capacity,12.120881,7.2381315
earliest_cr_line_missing_flag,missingness_or_unknown,-0.6130807,10.376288
emp_length,income_capacity,3.3785884,18.033112
emp_length_group,income_capacity,3.3828769,17.946512
emp_length_missing_flag,missingness_or_unknown,-1.122641,10.493711
emp_length_years,income_capacity,12.52131,3.9333887
fico_adjusted_bc_util,fico_credit_score,10.822675,4.3396773
fico_adjusted_revol_util,fico_credit_score,12.810618,6.661781
fico_band,fico_credit_score,3.4703364,18.687963
fico_band_x_term,fico_credit_score,3.5220184,17.647457
fico_mean,fico_credit_score,12.999713,6.503458
fico_midpoint_scaled,fico_credit_score,13.070381,6.4926934
fico_range_high,fico_credit_score,11.395822,4.9178805
fico_range_low,fico_credit_score,11.198199,4.499675
fico_span,fico_credit_score,-0.8827246,7.3746333
fico_to_income,fico_credit_score,12.912548,7.583243
fico_to_loan_amount,fico_credit_score,12.628856,7.4931326
has_mortgage_flag,mortgage_history,-3.931395,8.150616
has_public_record_flag,delinquency_derogatory,-1.8308232,9.202133
has_recent_inquiry_flag,recent_inquiries,-3.840442,8.436704
high_bc_util_flag,bankcard_capacity,-3.7494938,7.773381
high_dti_flag,income_capacity,-1.4845551,7.996648
high_revol_util_flag,revolving_utilization,-0.7994913,7.1490498
home_ownership,loan_terms,3.273872,17.74863
home_ownership_group,loan_terms,3.2728207,17.622198
il_util_ge_100_flag,balance_credit_limit_pressure,-0.7512848,6.1087246
il_util_ge_30_flag,balance_credit_limit_pressure,-0.7890763,6.0221157
il_util_ge_50_flag,balance_credit_limit_pressure,-0.8141073,5.9974694
il_util_ge_75_flag,balance_credit_limit_pressure,-0.83414155,5.9399195
il_util_ge_90_flag,balance_credit_limit_pressure,-0.7663447,6.03091
il_util_missing_flag,missingness_or_unknown,-0.4182722,10.190328
initial_list_status,loan_terms,3.3605487,17.416382
inq_6m_per_open_acc,recent_inquiries,10.771152,0.9860548
inq_fi_is_zero,recent_inquiries,-2.606681,8.642741
inq_fi_missing_flag,missingness_or_unknown,-1.4175383,10.468804
inq_fi_positive_flag,recent_inquiries,-2.4768252,8.512919
inq_last_12m_is_zero,recent_inquiries,-2.710255,8.831383
inq_last_12m_missing_flag,missingness_or_unknown,-2.2076795,10.811026
inq_last_12m_positive_flag,recent_inquiries,-2.6474698,8.544952
inq_last_6mths,recent_inquiries,10.776689,1.680656
inq_last_6mths_band,recent_inquiries,3.5140874,18.740484
inq_last_6mths_is_zero,recent_inquiries,-3.8572996,8.387571
inq_last_6mths_missing_flag,missingness_or_unknown,-1.6263072,11.051509
inq_last_6mths_per_credit_history_year,recent_inquiries,10.990709,2.0132754
inq_last_6mths_per_open_acc,recent_inquiries,10.930854,1.7845166
inq_last_6mths_per_total_acc,recent_inquiries,10.928141,1.8973137
inq_last_6mths_positive_flag,recent_inquiries,-3.7834203,8.154789
joint_application_flag,joint_applicant,-0.3278664,9.941005
joint_income_available_flag,income_capacity,-0.50608665,9.879018
loan_amnt,exposure_amount,12.010159,7.4141884
loan_amnt_band,exposure_amount,3.5309186,18.077545
loan_amnt_to_income,exposure_amount,12.638832,6.814621
loan_per_open_acc,account_mix_credit_depth,12.309719,7.566879
loan_per_total_acc,account_mix_credit_depth,12.375549,7.642871
loan_to_income,income_capacity,12.4240675,7.6175466
loan_to_income_band,income_capacity,3.8595328,18.16136
loan_to_income_x_fico,income_capacity,12.421757,7.713373
loan_to_total_credit_limit_v2,balance_credit_limit_pressure,12.746114,7.714892
loan_to_total_limit,balance_credit_limit_pressure,12.89155,7.7867355
log_acc_now_delinq,delinquency_derogatory,10.130631,0.18569401
log_acc_open_past_24mths,account_opening_activity,12.293588,3.5440207
log_annual_inc,income_capacity,12.35435,4.5759354
log_avg_cur_bal,balance_credit_limit_pressure,12.246035,4.603793
log_bc_open_to_buy,bankcard_capacity,12.079069,4.6131854
log_chargeoff_within_12_mths,delinquency_derogatory,9.752498,-0.46003938
log_collections_12_mths_ex_med,delinquency_derogatory,9.86528,0.17394054
log_delinq_2yrs,delinquency_derogatory,10.052538,0.6693462
log_delinq_amnt,delinquency_derogatory,9.898585,-0.78426415
log_inq_last_6mths,recent_inquiries,10.732694,1.6377591
log_loan_amnt,exposure_amount,12.115344,4.9638534
log_mort_acc,mortgage_history,11.351073,2.7567663
log_num_accts_ever_120_pd,credit_risk_other_reviewed,10.565031,1.3625511
log_num_actv_bc_tl,bankcard_capacity,11.039839,2.8746374
log_num_actv_rev_tl,account_mix_credit_depth,11.189606,3.0370088
log_num_bc_sats,bankcard_capacity,10.985215,2.885044
log_num_bc_tl,bankcard_capacity,11.093182,2.9092376
log_num_il_tl,account_mix_credit_depth,11.107435,2.9618418
log_num_op_rev_tl,account_mix_credit_depth,11.200304,3.0812192
log_num_rev_accts,account_mix_credit_depth,11.149941,3.083975
log_num_rev_tl_bal_gt_0,balance_credit_limit_pressure,11.255632,3.057127
log_num_sats,account_mix_credit_depth,10.98511,2.9502194
log_num_tl_120dpd_2m,delinquency_derogatory,10.38068,0.104203485
log_num_tl_30dpd,delinquency_derogatory,10.276951,0.04538226
log_num_tl_90g_dpd_24m,delinquency_derogatory,9.978069,0.35071495
log_num_tl_op_past_12m,account_opening_activity,11.420723,2.9417155
log_open_acc,account_mix_credit_depth,11.275391,3.030488
log_pub_rec,delinquency_derogatory,9.896898,0.51746154
log_pub_rec_bankruptcies,delinquency_derogatory,9.815151,0.45139822
log_revol_bal,revolving_utilization,11.889701,3.987199
log_tax_liens,delinquency_derogatory,9.744557,0.058785517
log_tot_coll_amt,balance_credit_limit_pressure,11.63612,6.8484488
log_tot_cur_bal,balance_credit_limit_pressure,12.09661,4.8597903
log_tot_hi_cred_lim,balance_credit_limit_pressure,12.112299,6.294905
log_total_acc,account_mix_credit_depth,11.340103,3.2158995
log_total_bal_ex_mort,balance_credit_limit_pressure,12.223819,4.732754
log_total_bc_limit,bankcard_capacity,11.877225,4.30546
log_total_il_high_credit_limit,balance_credit_limit_pressure,11.900482,6.0033627
log_total_rev_hi_lim,balance_credit_limit_pressure,11.824788,5.791463
low_fico_flag,fico_credit_score,-0.7845171,8.840129
max_bal_bc_is_zero,bankcard_capacity,-2.5484369,7.0230327
max_bal_bc_missing_flag,missingness_or_unknown,-2.071273,10.618657
mo_sin_old_il_acct,credit_history_length,12.420298,3.9793925
mo_sin_old_il_acct_inverse_recency,credit_history_length,11.231856,4.0092134
mo_sin_old_il_acct_missing_flag,missingness_or_unknown,-2.0153043,10.865076
mo_sin_old_il_acct_recent_12m_flag,credit_history_length,-4.45642,9.775854
mo_sin_old_il_acct_recent_24m_flag,credit_history_length,-4.5197153,9.743119
mo_sin_old_il_acct_seasoned_60m_flag,credit_history_length,-4.214063,9.010039
mo_sin_old_rev_tl_op,credit_history_length,12.317236,4.189381
mo_sin_old_rev_tl_op_inverse_recency,credit_history_length,11.444496,4.053604
mo_sin_old_rev_tl_op_missing_flag,missingness_or_unknown,-0.33481446,10.560521
mo_sin_old_rev_tl_op_recent_12m_flag,credit_history_length,-4.59392,9.706904
mo_sin_old_rev_tl_op_recent_24m_flag,credit_history_length,-4.5095053,9.735907
mo_sin_old_rev_tl_op_seasoned_60m_flag,credit_history_length,-4.453622,9.517591
mo_sin_rcnt_rev_tl_op,credit_history_length,12.181643,4.2243276
mo_sin_rcnt_rev_tl_op_inverse_recency,credit_history_length,11.516928,4.1566033
mo_sin_rcnt_rev_tl_op_missing_flag,missingness_or_unknown,-0.010392177,10.388829
mo_sin_rcnt_rev_tl_op_recent_12m_flag,credit_history_length,-4.369022,9.573666
mo_sin_rcnt_rev_tl_op_recent_24m_flag,credit_history_length,-4.49391,9.600763
mo_sin_rcnt_rev_tl_op_seasoned_60m_flag,credit_history_length,-4.5650115,9.563978
mo_sin_rcnt_tl,credit_history_length,12.277352,4.1653204
mo_sin_rcnt_tl_inverse_recency,credit_history_length,11.563182,4.036577
mo_sin_rcnt_tl_missing_flag,missingness_or_unknown,-0.12214133,10.289756
mo_sin_rcnt_tl_recent_12m_flag,credit_history_length,-4.3573275,9.433816
mo_sin_rcnt_tl_recent_24m_flag,credit_history_length,-4.5391684,9.66453
mo_sin_rcnt_tl_seasoned_60m_flag,credit_history_length,-4.456601,9.510266
mort_acc,mortgage_history,12.330434,2.992678
mort_acc_band,mortgage_history,3.3544433,18.844334
mort_acc_is_zero,mortgage_history,-3.9744267,8.195497
mort_acc_missing_flag,missingness_or_unknown,-1.5205216,10.442403
mort_acc_per_credit_history_year,mortgage_history,12.63688,3.1324365
mort_acc_per_open_acc,mortgage_history,10.81799,3.7265627
mort_acc_per_total_acc,mortgage_history,12.442571,3.2488365
mort_acc_positive_flag,mortgage_history,-3.8953526,8.060633
mort_balance_pressure,mortgage_history,12.114636,5.914563
mths_since_last_delinq,delinquency_derogatory,11.880816,2.4091055
mths_since_last_delinq_inverse_recency,delinquency_derogatory,11.532984,1.9286481
mths_since_last_delinq_missing_flag,missingness_or_unknown,-3.290327,10.62621
mths_since_last_delinq_recent_12m_flag,delinquency_derogatory,-3.4738302,10.122978
mths_since_last_delinq_recent_24m_flag,delinquency_derogatory,-3.776781,9.659844
mths_since_last_delinq_seasoned_60m_flag,delinquency_derogatory,-3.8387914,9.576829
mths_since_last_major_derog,delinquency_derogatory,11.90106,2.2698903
mths_since_last_major_derog_inverse_recency,delinquency_derogatory,11.547165,1.8831155
